config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.018408198731319936,0.06159285717555001,0.0034548182745159344,0.9,1.0,0.9815918012686801
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.017437716255905955,0.06045153801529381,0.003350314500193023,0.92,1.0,0.982562283744094
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.019019656169632415,0.07770318303053864,0.005676037332266352,0.92,1.0,0.9809803438303676
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.018773723178742152,0.06046167540949524,0.003303161511331121,0.92,1.0,0.9812262768212578
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.017295658978685013,0.05879673030026865,0.0031579156744955617,0.94,1.0,0.982704341021315
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.019674080128335603,0.06665402470391613,0.00405568958033409,0.94,1.0,0.9803259198716644
