config_name,theta_hat,se,true_effect,z,run_id,seed_used,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1
0_基准,0.8047775773347099,0.11350807446225397,1.0,-1.7198989903595754,28,88,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9057660108674394,0.10917448050357947,1.0,-0.8631503323660974,29,89,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8580058817174527,0.09342388957422117,1.0,-1.5198908858289313,30,90,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8297007894029406,0.08233487614509463,1.0,-2.0683727063237414,31,91,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8798921987904103,0.0793375416933014,1.0,-1.5138835744860324,32,92,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8198237136054153,0.10927697166926131,1.0,-1.6488038023226699,33,93,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9934114830349504,0.13454705860337973,1.0,-0.04896812337214546,34,94,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8976704070264664,0.09457017688740155,1.0,-1.0820492922982548,35,95,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.069221858144367,0.11569516272007314,1.0,0.5983124662856547,36,96,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.065194802733173,0.11160862526915324,1.0,0.584137673732209,37,97,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.2011227754552063,0.07924379844319494,1.0,2.538025427937796,38,98,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9921104963578906,0.09312291654933531,1.0,-0.08472139763717161,39,99,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0505056143768892,0.10173240319245534,1.0,0.4964555322785764,40,100,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.168093783184976,0.12457240783318764,1.0,1.3493660924501594,41,101,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9193821670090592,0.0999295598297493,1.0,-0.8067466035904691,42,102,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8621158083066072,0.07565233183469304,1.0,-1.822603326949417,43,103,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0252934347980083,0.10387881369225813,1.0,0.2434898310731608,44,104,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0004601005530795,0.09674595119740691,1.0,0.004755760291619083,45,105,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.018520053241779,0.09259098274350108,1.0,0.20002005263389422,46,106,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.140020730599335,0.09614130529241792,1.0,1.4564055498670003,47,107,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0051451283601092,0.11179126805046219,1.0,0.04602442077843388,48,108,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9949594638003169,0.09616201828235604,1.0,-0.05241712153839006,49,109,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0614004108379234,0.10490683102334603,1.0,0.5852851548271368,50,110,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9371983703722596,0.09423738128167666,1.0,-0.6664195118073746,51,111,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.6989424443420745,0.10684756080597291,1.0,-2.817636204205197,52,112,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.015461329752091,0.08345270330674964,1.0,0.18527056811160728,53,113,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9773099977300058,0.0947589738115172,1.0,-0.23944964109812247,54,114,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.007543174605486,0.09155746809982777,1.0,0.08238732199607554,55,115,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.119643038315571,0.08038668154287801,1.0,1.4883440393263887,56,116,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9778587839495771,0.07847845148529187,1.0,-0.2821311536017307,57,117,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.1993797548210088,0.09203298650576931,1.0,2.1663944895291447,58,118,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8858855515924895,0.09575984543456909,1.0,-1.1916732727548394,59,119,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.2896340314352586,0.09375254973265057,1.0,3.089345647251124,60,120,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8178097350397122,0.10458902732304162,1.0,-1.7419634700068591,61,121,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9466461808707467,0.07939171373129082,1.0,-0.6720325915854976,62,122,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9746570231895841,0.10267959002920574,1.0,-0.24681610827631292,63,123,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9719275728316379,0.09819831246157569,1.0,-0.28587484310737676,64,124,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.2065422375918438,0.09625674974517888,1.0,2.1457429025873447,65,125,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9646743449224391,0.10721204975010727,1.0,-0.3294933280344784,66,126,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9566514032706773,0.09688123466507645,1.0,-0.4474405892862644,67,127,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0647580040296594,0.09849471956620559,1.0,0.6574769116036796,68,128,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.136542410104104,0.10590174245608354,1.0,1.2893311001065617,69,129,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9555128087181506,0.11199003967318132,1.0,-0.39724239237414016,70,130,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8718161528996531,0.11678030645352469,1.0,-1.0976495180834323,71,131,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8431148729844601,0.07625032444994768,1.0,-2.057501107664435,72,132,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9946752276455412,0.07465874631664755,1.0,-0.0713214809672139,73,133,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.051865709884205,0.07327367846609056,1.0,0.7078354870392828,74,134,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8747944288795726,0.11006801983659033,1.0,-1.1375290598151093,75,135,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.949928592000142,0.08132426058727718,1.0,-0.6157007470866749,76,136,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.1449050648414323,0.11309385568193545,1.0,1.2812814981652276,77,137,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0317511702273447,0.10445265481978899,1.0,0.30397667040751325,78,138,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9120211360199932,0.10767441405701533,1.0,-0.8170823565700626,79,139,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8538457679895496,0.098781755705784,1.0,-1.4795670614092213,80,140,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9365485627811492,0.10403621405764484,1.0,-0.6098975995386893,81,141,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
