config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_base,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.018666837988532865,0.08844557619946368,0.007474169108765002,0.92,0.08,0.9813331620114671
inter_0.25,200,100,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0010177219536311,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03170072261000414,0.09181188545231915,0.007650654258549692,0.9,0.1,0.9693169993436268
inter_0.5,200,100,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0026143043787892,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.051400281837318144,0.11077151456908708,0.010274299646280738,0.94,0.06,0.9512140225414708
inter_1.0,200,100,3,100,0.0,1.0,0,0.3,0.0,1.0,1.005123938362226,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.08560238245350012,0.16203059759544325,0.020407444587815963,0.95,0.05,0.9195215559087258
hete_0.15,200,100,3,100,0.0,0.0,0,0.3,0.15,1.0,1.000645834147188,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02479197629920776,0.0879231380394002,0.007259795655600126,0.91,0.09,0.9758538578479801
hete_0.3,200,100,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0016430699674304,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.033732580615854324,0.09502507665322302,0.00822639246083529,0.9,0.1,0.9679104893515761
hete_0.5,200,100,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0032937009418157,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.04774276947228803,0.10947350844428788,0.010250204765088136,0.94,0.06,0.9555509314695275
noise_0.5,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.013234172439707507,0.08644721062583856,0.00729797690482418,0.93,0.07,0.9867658275602925
noise_1.0,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.011182781569230006,0.08937201505699228,0.007862302471722147,0.92,0.08,0.98881721843077
noise_2.0,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.00968078988237026,0.08865048650529835,0.0077651910648794805,0.92,0.08,0.9903192101176298
s1_0.5,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.008892356717140323,0.08823735936425985,0.007706757579592663,0.92,0.08,0.9911076432828598
s1_1.0,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.008970732707976799,0.08825188598050587,0.007707921333798246,0.92,0.08,0.9910292672920232
s1_2.0,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.00811941877919769,0.08824384613156742,0.007721051418779759,0.92,0.08,0.9918805812208025
ind_nl_mD,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,0.0,2.0,1.0,0.25,-0.006734887653154742,0.08763116410559643,0.007633862210801355,0.92,0.08,0.9932651123468453
ind_nl_mY,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,2.0,0.0,-0.006730077737085084,0.08762909685338224,0.00763356466899224,0.92,0.08,0.9932699222629151
ind_nl_both,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,0.0,2.0,2.0,0.0,-0.006988046243691196,0.08765369892658743,0.007634338145208868,0.92,0.08,0.993011953756309
ind_skew_Dpos,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.2,0.0,4.0,1.0,0.25,-0.00671579707139799,0.08767098507471136,0.007641099693666064,0.92,0.08,0.993284202928602
ind_skew_Dneg,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.2,0.0,-4.0,1.0,0.25,-0.006057890700063381,0.08705920227050774,0.007542606660243268,0.92,0.08,0.9939421092999366
ind_skew_Y,200,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,4.0,0.0,-0.0044028801712600795,0.08783826212945886,0.007696174940121052,0.92,0.08,0.9955971198287398
