config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
s1_1.0,100,20,3,100,0.9857829967818584,0.3611032461628869,0.4380680868864033,False,False,False
s1_1.0,200,20,3,100,0.9926365470638806,0.8651985108867196,0.2193190144310364,False,False,False
s1_1.0,400,20,3,100,0.9890038729845931,0.5848740729154442,0.4056921583102877,False,False,False
s1_1.0,50,20,3,100,0.9876902766451646,0.485658458999506,0.42419512211395727,False,False,False
s1_1.0,800,20,3,100,0.9877176511041028,0.4876276197714765,0.45492632328317484,False,False,False
