config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_base,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.025651608991122874,0.12801366980636353,0.01572949461345921,0.88,0.12,0.9743483910088772
inter_0.25,100,3,3,100,0.0,0.25,0,0.3,0.0,1.0,1.002917540017533,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.026746435200420245,0.1343074468764388,0.019046116350537188,0.89,0.11,0.9761711048171126
inter_0.5,100,3,3,100,0.0,0.5,0,0.3,0.0,1.0,1.006205823703333,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.025373579020136653,0.15283000808731234,0.027844422218014486,0.91,0.09,0.9808322446831964
inter_1.0,100,3,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0133813601143984,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.011102304540039997,0.22323891339641777,0.0653753392238671,0.89,0.11,1.0022790555743584
hete_0.15,100,3,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0021889979706886,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02976710072534634,0.12955707071415223,0.016885236721969156,0.87,0.13,0.9724218972453422
hete_0.3,100,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0042781486473245,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02669949197908531,0.1336603610030951,0.019455097376238257,0.89,0.11,0.9775786566682393
hete_0.5,100,3,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0060942637014576,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.024362657265068196,0.1484315389372515,0.02633167669469698,0.92,0.08,0.9817316064363893
noise_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.02466290021056057,0.12595201296580186,0.015255650923341453,0.89,0.11,0.9753370997894396
noise_1.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022316089388408563,0.12599147281019804,0.015375843375291433,0.89,0.11,0.9776839106115913
noise_2.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022944531151951688,0.12641843726136065,0.015455169769821702,0.89,0.11,0.9770554688480483
rho_0.3,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.026461877665542363,0.12829459695567594,0.015759272638433207,0.88,0.12,0.9735381223344577
rho_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.02736308211385395,0.1286822252566062,0.01581037683422242,0.88,0.12,0.9726369178861459
rho_0.7,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.028391115346746196,0.12793786574222302,0.015562042060042837,0.88,0.12,0.9716088846532539
s1_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.028976846434507104,0.12802676939177957,0.0155511960516069,0.88,0.12,0.971023153565493
s1_1.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.031546164618180876,0.1308450770352364,0.016125273682239587,0.87,0.13,0.9684538353818191
s1_2.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.032340179549707845,0.13090168386725143,0.016089363625974493,0.87,0.13,0.9676598204502919
