config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004039156359176177,0.0540681228768823,0.0029070471273357702,0.92,0.08,0.9959608436408238
inter_0.25,400,20,3,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004425368127724982,0.0543970509102908,0.002939455264670886,0.92,0.08,0.995574631872275
inter_0.5,400,20,3,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004464489246408854,0.05443745380897737,0.0029435047129732442,0.92,0.08,0.9955355107535911
inter_1.0,400,20,3,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004775775558372386,0.05456308181072743,0.002954321864500187,0.92,0.08,0.9952242244416276
hete_0.15,400,20,3,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004917914831236159,0.05450921628531749,0.0029470687737522274,0.92,0.08,0.9950820851687638
hete_0.3,400,20,3,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0050466047834192285,0.05462996368879529,0.0029589647127990617,0.92,0.08,0.9949533952165808
hete_0.5,400,20,3,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.005728329703971635,0.05497368024559118,0.0029892917585471,0.92,0.08,0.9942716702960284
noise_0.5,400,20,3,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.005464216006585643,0.05476610467946935,0.0029694685651959663,0.92,0.08,0.9945357839934144
noise_1.0,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.005091046175194736,0.05474706471818452,0.0029713223440991205,0.92,0.08,0.9949089538248053
noise_2.0,400,20,3,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.005899516800701332,0.05527345958139799,0.003020351035614681,0.92,0.08,0.9941004831992987
rho_0.3,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.005064846118463029,0.054731621389905616,0.0029698977137642664,0.92,0.08,0.994935153881537
rho_0.5,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.004632058873279887,0.05459676905973855,0.0029593512223568936,0.92,0.08,0.9953679411267201
rho_0.7,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004999885439224694,0.05453085449711272,0.0029486152377799072,0.92,0.08,0.9950001145607753
s1_0.5,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.006620123673620859,0.05556901039119911,0.0030440888784031596,0.91,0.09,0.9933798763263791
s1_1.0,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0075056611317048105,0.05460472530893161,0.0029253410770398902,0.92,0.08,0.9924943388682952
s1_2.0,400,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.006820647076699493,0.054988863008012534,0.0029772538283690812,0.92,0.08,0.9931793529233005
