config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.019362799611444825,0.08179773794045743,0.006315951923382784,0.92,1.0,0.9806372003885552
inter_0.25,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.01791813373935114,0.08074333391966039,0.006198426455760503,0.92,1.0,0.9820818662606489
inter_0.5,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.017905523634470177,0.08072118887094337,0.006195302556113936,0.92,1.0,0.9820944763655298
inter_1.0,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.01705402899286179,0.0801481440419827,0.00613288508848503,0.92,1.0,0.9829459710071382
hete_0.15,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.01815054469440336,0.07996788166300577,0.00606541982496495,0.92,1.0,0.9818494553055966
hete_0.3,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.019246851419313593,0.08013095895543772,0.006050529293560904,0.92,1.0,0.9807531485806864
hete_0.5,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.020103783217594096,0.07993937793220676,0.005986142044528169,0.92,1.0,0.9798962167824059
noise_0.5,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.020132980590536587,0.07993022817579218,0.005983504468775282,0.92,1.0,0.9798670194094634
noise_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.020697913263599932,0.07925052051497676,0.005852241388427247,0.92,1.0,0.9793020867364001
noise_2.0,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.020816949564874565,0.0792898324803432,0.00585353214557436,0.92,1.0,0.9791830504351254
rho_0.3,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.021177080075999166,0.07962541754453406,0.005891738398596121,0.92,1.0,0.9788229199240008
rho_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.021523974056435802,0.07948574509355684,0.005854702213895768,0.92,1.0,0.9784760259435642
rho_0.7,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.023388915687909795,0.08114570069841603,0.006037583364780761,0.91,1.0,0.9766110843120902
s1_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.021382460079239274,0.07812807807578553,0.0056467869847757765,0.92,1.0,0.9786175399207607
s1_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.022233696789784596,0.07770076899859846,0.005543072230033479,0.92,1.0,0.9777663032102154
s1_2.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.020077247312907942,0.07746920963072527,0.00559838258114558,0.92,1.0,0.9799227526870921
