config_name,theta_hat,se,true_effect,true_theta,z,run_id,seed_used,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1
0_base,0.9828018909200422,0.08719487410602993,1.0,1.0,-0.19723761581494675,0,60,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.121593921370965,0.09698879164852758,1.0,1.0,1.2536904450939292,1,61,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.8390674608828542,0.10832857998755038,1.0,1.0,-1.4855963138780264,2,62,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0568909338366266,0.08582675192419939,1.0,1.0,0.6628578218464053,3,63,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0467273477025676,0.11650558668746876,1.0,1.0,0.4010738800699378,4,64,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.8357137792891772,0.09699667439584261,1.0,1.0,-1.6937304472973176,5,65,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1307731352273491,0.09138941832902267,1.0,1.0,1.4309439497309866,6,66,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1159382780596596,0.08818259054219194,1.0,1.0,1.314752462439711,7,67,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0613975983265809,0.10801871188345398,1.0,1.0,0.5683978012330435,8,68,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0550090820470897,0.11542231004112617,1.0,1.0,0.47658968207696883,9,69,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9097460139451957,0.0867103005428857,1.0,1.0,-1.0408681032095595,10,70,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.08507013326667,0.11399604040456031,1.0,1.0,0.7462551590806548,11,71,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9817922138277806,0.1041682118776913,1.0,1.0,-0.1747921543819722,12,72,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9454898245034997,0.10194575275412569,1.0,1.0,-0.534697856692164,13,73,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1895103118701054,0.12332350047982517,1.0,1.0,1.5366926103521354,14,74,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1689871079170837,0.09465007285664734,1.0,1.0,1.785388038454274,15,75,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9233933079294278,0.09286671008354697,1.0,1.0,-0.8249101535055297,16,76,100,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
