config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015840373237705263,0.044122693890244896,0.001695894691822438,0.92,0.08,0.9841596267622947
inter_0.25,800,10,3,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01617451776649348,0.044282133772330826,0.0016992923464519854,0.92,0.08,0.9838254822335065
inter_0.5,800,10,3,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015791664576573772,0.044288909488029375,0.0017121308335398405,0.92,0.08,0.9842083354234262
inter_1.0,800,10,3,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01588486515288745,0.04441371101861046,0.0017202487855192167,0.92,0.08,0.9841151348471125
hete_0.15,800,10,3,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015603708298970953,0.044570724122017964,0.0017430737360816595,0.92,0.08,0.984396291701029
hete_0.3,800,10,3,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015118328864483055,0.044859593306433486,0.0017838192439639494,0.92,0.08,0.984881671135517
hete_0.5,800,10,3,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015227484096691724,0.04483834952756567,0.0017786013164411444,0.92,0.08,0.9847725159033083
noise_0.5,800,10,3,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.015402553846699196,0.044956324959247555,0.0017838324888409954,0.92,0.08,0.9845974461533008
noise_1.0,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015497989628043718,0.04505521362741547,0.0017897845925010927,0.92,0.08,0.9845020103719563
noise_2.0,800,10,3,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015861053723629226,0.04514190976701757,0.001786218992189695,0.92,0.08,0.9841389462763708
rho_0.3,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.016382739870986596,0.04503685899825777,0.0017599245027485372,0.92,0.08,0.9836172601290134
rho_0.5,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.016521355842474272,0.0449355883071568,0.0017462518976366207,0.92,0.08,0.9834786441575257
rho_0.7,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015888899176675242,0.04515519879170589,0.0017865348608719224,0.92,0.08,0.9841111008233248
s1_0.5,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.015815935605951514,0.04514386731278558,0.00178782493686278,0.92,0.08,0.9841840643940485
s1_1.0,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015308903977877875,0.045188042120000854,0.0018075966096350864,0.92,0.08,0.9846910960221221
s1_2.0,800,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.015440382301001088,0.045121892192438416,0.0017975797494249638,0.92,0.08,0.9845596176989989
