config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.053147071311946514,0.09774801318695546,0.006730062892960088,0.96,1.0,0.9468529286880535
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.06194050830808839,0.10783910554946421,0.007792646116244127,0.96,1.0,0.9380594916919116
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.03564454998856448,0.09970426811592711,0.008670407136645403,0.94,1.0,0.9643554500114355
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.04909722931565841,0.10008933721887923,0.007607337498440194,0.94,1.0,0.9509027706843416
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0489655432726811,0.0999860496264514,0.007599585691914398,0.94,1.0,0.9510344567273189
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.040044363466616106,0.10320048208038371,0.009046788456177141,0.94,1.0,0.9599556365333839
