config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.016218290374381272,0.041630798928851576,0.0014700904767867156,0.94,0.06,0.9837817096256187
inter_0.25,800,20,3,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01656380766735177,0.04202453002636349,0.0014917013994956965,0.94,0.06,0.9834361923326482
inter_0.5,800,20,3,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015696717917497383,0.04165155663946258,0.0014884652171088678,0.94,0.06,0.9843032820825026
inter_1.0,800,20,3,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01523100230312291,0.04124896952508051,0.00146949405572328,0.94,0.06,0.9847689976968771
hete_0.15,800,20,3,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01579862146248967,0.04213049189959182,0.0015253819075865262,0.93,0.07,0.9842013785375103
hete_0.3,800,20,3,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01575276964337069,0.04210400845975892,0.0015245977769423442,0.93,0.07,0.9842472303566293
hete_0.5,800,20,3,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015738296998341617,0.042091517560654476,0.001524001858150867,0.93,0.07,0.9842617030016584
noise_0.5,800,20,3,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.01572963425693641,0.042098635623552524,0.0015248737275076535,0.93,0.07,0.9842703657430636
noise_1.0,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.016173181764164934,0.04230695684432394,0.0015283067890507665,0.93,0.07,0.9838268182358351
noise_2.0,800,20,3,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01655208440006828,0.04242209117947138,0.0015256623220523916,0.93,0.07,0.9834479155999317
rho_0.3,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.016432950030116578,0.04248720748605511,0.0015351209532707799,0.93,0.07,0.9835670499698834
rho_0.5,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.01652375835272868,0.042608714507274326,0.0015424679618630385,0.93,0.07,0.9834762416472713
rho_0.7,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01661749417336167,0.04266174250953607,0.0015438831613482425,0.93,0.07,0.9833825058266383
s1_0.5,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.016660179052904733,0.04268754658220524,0.0015446650671330942,0.93,0.07,0.9833398209470953
s1_1.0,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01705832609534863,0.04271759210510487,0.00153380618608286,0.93,0.07,0.9829416739046514
s1_2.0,800,20,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.016344750801698504,0.04256975263549025,0.001545032960677201,0.93,0.07,0.9836552491983015
