config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0015603260988723555,0.0794482060459203,0.006309582826380184,0.94,0.06,1.0015603260988724
inter_0.25,200,20,2,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.002922248714667619,0.09242476212695526,0.008533797116673885,0.95,0.05,1.0029222487146676
inter_0.5,200,20,2,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.002275233785708375,0.11636169342124222,0.013534867007079536,0.92,0.08,0.9977247662142916
inter_1.0,200,20,2,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.001084490861361198,0.1693293786201143,0.02867126234344564,0.91,0.09,0.9989155091386388
hete_0.15,200,20,2,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0023720083483573795,0.08756060589242318,0.007661233280643574,0.95,0.05,1.0023720083483574
hete_0.3,200,20,2,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0024459204342588414,0.09854306186741824,0.009704752515435093,0.95,0.05,0.9975540795657412
hete_0.5,200,20,2,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0015938698826307718,0.11573503781859008,0.01339205855766772,0.93,0.07,0.9984061301173692
noise_0.5,200,20,2,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.0001294286260866695,0.043890932961032726,0.0019263972444206181,0.93,0.07,0.9998705713739133
noise_1.0,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.002389330430688563,0.07708281718423528,0.005936051805151222,0.94,0.06,1.0023893304306886
noise_2.0,200,20,2,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,0.010336147535668694,0.14853971240022856,0.021957210214063497,0.93,0.07,1.0103361475356687
rho_0.3,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,0.008657550247188173,0.07874133786353973,0.006125245112257528,0.95,0.05,1.0086575502471882
rho_0.5,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,0.006413311788525888,0.07949297422596144,0.006278002383192522,0.94,0.06,1.0064133117885259
rho_0.7,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0009517889572092653,0.07605925342497005,0.005784104129344752,0.95,0.05,1.0009517889572093
s1_0.5,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.014072587917282275,0.15485138012074778,0.023780912194610683,0.91,0.09,1.0140725879172823
s1_1.0,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.001032543213269843,0.07587741302934278,0.005756315662538205,0.95,0.05,0.9989674567867302
s1_2.0,200,20,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.0027524330128799734,0.0386266721769482,0.0014844439159750337,0.96,0.04,0.99724756698712
