config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.010295154746563062,0.17269689737575677,0.029718228151956985,0.86,1.0,1.010295154746563
inter_0.25,50,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0021782972175407034,0.18831260708459807,0.035456893008230274,0.88,1.0,0.9978217027824593
inter_0.5,50,5,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.023991056820039325,0.23134472777685766,0.05294481226280603,0.89,0.97,0.9760089431799607
inter_1.0,50,5,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.052347473098362185,0.36187530606754165,0.12821347920169318,0.95,0.81,0.9476525269016378
hete_0.15,50,5,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0018193343597410205,0.18470182264203486,0.034111453309777155,0.88,1.0,0.998180665640259
hete_0.3,50,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.006297364765508462,0.19849245847610256,0.039359599268897434,0.88,1.0,0.9937026352344915
hete_0.5,50,5,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01949721833495477,0.23261035887127668,0.053727437531423235,0.9,0.97,0.9805027816650452
noise_0.5,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,0.011664488947434881,0.09685374123764101,0.009244586889323093,0.85,1.0,1.0116644889474349
noise_1.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.005848253501310241,0.1777539536520802,0.031562265969930274,0.86,1.0,1.0058482535013102
noise_2.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,0.008920176986978667,0.3367018779337667,0.11328858504664611,0.87,0.87,1.0089201769869787
rho_0.3,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,0.009244867540522783,0.17376899464468198,0.030110195923981717,0.87,1.0,1.0092448675405228
rho_0.5,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,0.009243042127796919,0.17356406295354015,0.030039050121164212,0.84,1.0,1.009243042127797
rho_0.7,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.007079621249697521,0.176346722034121,0.03104804533514037,0.87,1.0,1.0070796212496975
s1_0.5,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.036582828823306324,0.3141615765062836,0.0973591927881982,0.86,0.95,1.0365828288233063
s1_1.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.007493108104150492,0.17572144693294284,0.03082188024314656,0.87,1.0,1.0074931081041505
s1_2.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,0.004345052598671462,0.09104757884441321,0.008270782131344422,0.85,1.0,1.0043450525986715
