config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_base,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.026302970708013837,0.08435696774655349,0.006424251739326432,0.89,0.11,0.9736970292919862
inter_0.25,200,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0022072567310643,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01989217846304733,0.08960653105048572,0.008131712836836199,0.9,0.1,0.982315078268017
inter_0.5,200,5,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0041477800127938,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015784323620657667,0.11278859356744445,0.014735942046456986,0.92,0.08,0.9883634563921362
inter_1.0,200,5,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0081599879284249,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.006811883986701877,0.17149630483652326,0.03824142356868891,0.93,0.07,1.0149718719151266
hete_0.15,200,5,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0014729497200399,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022539612253156146,0.0860527830061299,0.007127611882887594,0.92,0.08,0.9789333374668838
hete_0.3,200,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0029526699068592,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.023893723855099545,0.09301813649594416,0.009000970986993727,0.92,0.08,0.9790589460517596
hete_0.5,200,5,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0051040187066524,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02068560608759272,0.10920074163228319,0.014004460894929224,0.93,0.07,0.9844184126190598
noise_0.5,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.02714526258578504,0.08476065101666844,0.006447502679918237,0.9,0.1,0.972854737414215
noise_1.0,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02595120591582987,0.08247664740637198,0.006128932278909204,0.91,0.09,0.9740487940841702
noise_2.0,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.027711702949872193,0.08502859452351039,0.006461923406261585,0.9,0.1,0.972288297050128
rho_0.3,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.026513809466015125,0.08417577490882268,0.006382578989100629,0.9,0.1,0.9734861905339849
rho_0.5,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.028061533587716268,0.08236442007762984,0.005996448027429746,0.91,0.09,0.9719384664122839
rho_0.7,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02957182474074325,0.08338488934634958,0.006078546952805729,0.91,0.09,0.9704281752592568
s1_0.5,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.027954304588741596,0.08284622852292318,0.006082054435432273,0.91,0.09,0.9720456954112584
s1_1.0,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.028886546858726575,0.08324767553788161,0.006095742893039004,0.91,0.09,0.9711134531412733
s1_2.0,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.030467540679328265,0.08195501046716805,0.005788352705627105,0.92,0.08,0.9695324593206717
