config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.03807476048451308,0.3789481507438915,0.14215201356626206,0.72,0.94,0.9619252395154869
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.021201379794032138,0.3849120318585787,0.14770777376432873,0.74,0.88,0.9787986202059679
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.03806177910006525,0.39436339939481546,0.15407379175397257,0.72,0.94,0.9619382208999347
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.010833671000437195,0.1084133396717373,0.011636083791433776,0.9,1.0,0.9891663289995628
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.09749242746094577,0.6290831460177565,0.3862408311913701,0.52,0.8,0.9025075725390542
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.042581058317306075,0.3897718951889147,0.1501089837517365,0.72,0.94,0.9574189416826939
