config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017725453111724798,0.042530734805741585,0.0014946717151003651,0.92,0.08,0.9822745468882752
inter_0.25,800,30,2,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02301340625329462,0.047195323698049366,0.0016977817115844782,0.89,0.11,0.9769865937467054
inter_0.5,800,30,2,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.025646068647259268,0.0564571608131477,0.0025296901700216762,0.93,0.07,0.9743539313527407
inter_1.0,800,30,2,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.019468702942152416,0.07493468740226579,0.005236176981825518,0.92,0.08,0.9805312970578476
hete_0.15,800,30,2,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.018310570934939818,0.04411429731356563,0.0016107942195061995,0.9,0.1,0.9816894290650602
hete_0.3,800,30,2,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022223950307646123,0.04844350736768729,0.0018528694388064417,0.91,0.09,0.9777760496923539
hete_0.5,800,30,2,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.023473864939556832,0.0566163784928975,0.002654391978450479,0.93,0.07,0.9765261350604432
noise_0.5,800,30,2,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.011030155761569516,0.024065222640576367,0.0004574706046160251,0.89,0.11,0.9889698442384305
noise_1.0,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017651539218814905,0.04277289671446133,0.0015179438565526182,0.92,0.08,0.9823484607811851
noise_2.0,800,30,2,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.027612123497178898,0.08039686064273938,0.005701225837184599,0.91,0.09,0.9723878765028211
rho_0.3,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.015247494122940242,0.04372704391488656,0.001679568292505323,0.9,0.1,0.9847525058770598
rho_0.5,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.017962766551370746,0.044939562336974916,0.0016969032808598163,0.89,0.11,0.9820372334486293
rho_0.7,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017812514434385585,0.0447013698400942,0.001680926795105681,0.89,0.11,0.9821874855656144
s1_0.5,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.030531477413011765,0.0860604871046541,0.006474236327669084,0.88,0.12,0.9694685225869882
s1_1.0,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01847447879719455,0.04492041819610835,0.0016765376040852726,0.88,0.12,0.9815255212028055
s1_2.0,800,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.011569777432255623,0.02485943644369799,0.0004841318304663255,0.86,0.14,0.9884302225677444
