config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
rho_0.7,100,30,2,100,0.9928444218880856,0.8784966182394198,0.19602181844479105,False,False,False
rho_0.7,200,30,2,100,0.9853812169300848,0.3382169683097008,0.47694940261895624,False,False,False
rho_0.7,400,30,2,100,0.9716599157940053,0.029658916022460832,0.6857938944979054,True,False,False
rho_0.7,50,30,2,100,0.9846301336430967,0.2985836769077044,0.46178060818178324,False,False,False
rho_0.7,800,30,2,100,0.9882083773054613,0.5236966412441308,0.29252483162035503,False,False,False
