config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
hete_0.15,100,100,3,100,0.0,0.0,0,0.3,0.15,1.0,1.001507574704535,1.0,-0.0026030970636438,0.1184109555739193,0.0137822167607494,0.91,0.09,0.9989044776408909,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,100,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0030430385455826,1.0,-0.0173721130027797,0.1244445153807805,0.0151655699882787,0.91,0.09,0.9856709255428028,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,100,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0060738288045137,1.0,-0.0367190165229679,0.1404659712431928,0.0192456704857058,0.95,0.05,0.9693548122815456,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.0003240947046577,0.1190648884260493,0.0141763426185299,0.87,0.13,1.0003240947046577,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0001993952575484,0.1186695697319293,0.0140824270218925,0.87,0.13,0.9998006047424516,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,-0.0025501346251984,0.1197764786378873,0.0143399016482856,0.87,0.13,0.9974498653748014,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0036980593828701,0.1197993546955181,0.0143382097422633,0.87,0.13,0.9963019406171298,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.00498524755602,0.121449242285125,0.0147250657584361,0.86,0.14,0.99501475244398,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0077404675160448,0.12263877158585,0.0149803534587193,0.86,0.14,0.9922595324839548,0.7,2.0,1.0,0.25,1.0,0.25
ind_nl_mD,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0064063819166841,0.1231651949378202,0.0151286235148088,0.86,0.14,0.9935936180833156,0.7,1.0,0.0,2.0,1.0,0.25
ind_nl_mY,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0076980107304785,0.1244078356453732,0.0154180502007596,0.85,0.15,0.9923019892695212,0.7,1.0,1.0,0.25,2.0,0.0
ind_nl_both,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.009015138776865,0.1230917280134488,0.0150703007781707,0.85,0.15,0.9909848612231352,0.7,1.0,0.0,2.0,2.0,0.0
