config_name,theta_hat,se,true_effect,z,run_id,seed_used,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1
0_基准,0.8409957071016136,0.09530066169312691,1.0,-1.6684489915756142,0,60,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8223668171503865,0.13033739807410297,1.0,-1.3628719421621462,1,61,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9079423592702185,0.18190315235682936,1.0,-0.5060805133777843,2,62,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.1914732430072104,0.12046018747640143,1.0,1.5895147352706938,3,63,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9187060599609697,0.13056316462491532,1.0,-0.6226406986424795,4,64,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8210811050294119,0.0964419595472479,1.0,-1.8551976319283925,5,65,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9448038081470432,0.11599368434944538,1.0,-0.47585514817057956,6,66,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8597367311757357,0.1917009649631088,1.0,-0.731677427138965,7,67,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.0725637717502332,0.19120603107530967,1.0,0.3795056638231916,8,68,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.299619285389768,0.15556393675200925,1.0,1.926020205231776,9,69,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.7066186215400821,0.11461815917302681,1.0,-2.559641339353839,10,70,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,1.3380301820715068,0.17674241619176395,1.0,1.9125583397295365,11,71,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.9910840700143447,0.10836882886835662,1.0,-0.08227393503058049,12,72,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_基准,0.8177720467869781,0.10304263270014495,1.0,-1.7684714417507845,13,73,50,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
