config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.05072447972951877,0.13545521283862783,0.015775141841327608,0.86,1.0,0.9492755202704812
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.049620736999459014,0.14532064735262953,0.018655873006617828,0.84,1.0,0.950379263000541
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.05434617626717897,0.1368482252975992,0.01577392989223918,0.86,1.0,0.945653823732821
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.04724574200002418,0.08384927025764374,0.004798539985606521,0.92,1.0,0.9527542579999758
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.13091217255090637,0.2594958647915982,0.05020010692194112,0.68,1.0,0.8690878274490936
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.03985420725226385,0.12996928674141953,0.015303657660366923,0.86,1.0,0.9601457927477361
