nonlinearity,interaction,sparse_beta,skewness_level,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
False,False,False,0.3,False,1.0,1.0,-0.25712901251767906,0.6362458919861251,0.3386935059909033,0.8,0.8,0.7428709874823209
True,True,True,1.5,True,1.0,1.0,-2.24262342690292,3.9454158088685856,10.536946069976358,1.0,0.0,-1.2426234269029202
False,True,False,0.3,False,1.0,1.0,-0.17522602720691816,0.6100525806397852,0.34145999053454196,0.8,0.8,0.8247739727930818
