config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01245875675126984,0.04375880696930801,0.001759612567589852,0.88,1.0,0.9875412432487302
inter_0.25,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.01396176199201482,0.047959847283049944,0.002105216153491806,0.9,1.0,0.9860382380079852
inter_0.5,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.014622579563665972,0.057652819415156244,0.003110027753420869,0.9,1.0,0.985377420436334
inter_1.0,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.006025995757534819,0.08298231777854402,0.006849752439029433,0.92,1.0,0.9939740042424652
hete_0.15,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.01275396128081896,0.04598151176437665,0.0019516358957848757,0.89,1.0,0.987246038719181
hete_0.3,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.012384496396279143,0.0481648160048241,0.002166473749789108,0.92,1.0,0.9876155036037209
hete_0.5,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.011638243801263326,0.05598347596446918,0.0029987008622866557,0.92,1.0,0.9883617561987367
noise_0.5,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.007449283002875506,0.02384698111467553,0.0005131866910267607,0.88,1.0,0.9925507169971245
noise_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01095267389764476,0.04305812860799774,0.0017340413737147204,0.88,1.0,0.9890473261023552
noise_2.0,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.016315924809665483,0.08484171525609782,0.006931907245202126,0.9,1.0,0.9836840751903345
rho_0.3,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01342049311655591,0.04275536070001349,0.0016479112330967341,0.9,1.0,0.9865795068834441
rho_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.01281891416215064,0.04215957489331803,0.0016131051948887042,0.92,1.0,0.9871810858378494
rho_0.7,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.011727687657082098,0.04292438447740969,0.001704964124982414,0.89,1.0,0.9882723123429179
s1_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.018881681614523083,0.08186023212185677,0.006344579702452051,0.89,1.0,0.9811183183854769
s1_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.011069343455264558,0.04267008595944453,0.001698205871255775,0.89,1.0,0.9889306565447354
s1_2.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.006745707961549385,0.022750545017514896,0.0004720827226914586,0.89,1.0,0.9932542920384506
