config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_base,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.010295154746563036,0.17269689737575672,0.02971822815195697,0.86,0.14,1.0102951547465628
inter_0.25,50,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0000335612010458,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.00221185841858621,0.1848473752621044,0.03545689300823027,0.88,0.12,0.9978217027824594
inter_0.5,50,5,2,100,0.0,0.5,0,0.3,0.0,1.0,0.9991683486591307,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02315940547917011,0.2190416125778035,0.052944812262806014,0.9,0.1,0.9760089431799607
inter_1.0,50,5,2,100,0.0,1.0,0,0.3,0.0,1.0,0.9993547953349392,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.05170226843330147,0.3307624799192937,0.12821347920169315,0.96,0.04,0.9476525269016376
hete_0.15,50,5,2,100,0.0,0.0,0,0.3,0.15,1.0,0.9994402303329403,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0012595646926813375,0.18413662677757078,0.034111453309777155,0.85,0.15,0.998180665640259
hete_0.3,50,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0001377810977217,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.006435145863230063,0.19374872923382008,0.039359599268897434,0.88,0.12,0.9937026352344914
hete_0.5,50,5,2,100,0.0,0.0,0,0.3,0.5,1.0,1.000026356610141,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.019523574945095552,0.21848473827727,0.05372743753142323,0.89,0.11,0.9805027816650452
noise_0.5,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,0.011664488947434836,0.09685374123764098,0.009244586889323086,0.85,0.15,1.0116644889474349
noise_1.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.005848253501310379,0.17775395365208016,0.03156226596993027,0.86,0.14,1.0058482535013102
noise_2.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,0.008920176986978673,0.33670187793376666,0.11328858504664609,0.87,0.13,1.0089201769869784
s1_0.5,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.04357489256622907,0.31283763116876784,0.09596861221312764,0.86,0.14,1.0435748925662292
s1_1.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.008909118233604272,0.17477609719706508,0.03046731176373759,0.87,0.13,1.0089091182336043
s1_2.0,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,0.0029124274738988164,0.09181088311185506,0.00842075602398799,0.84,0.16,1.002912427473899
ind_nl_mD,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,0.0,2.0,1.0,0.25,0.0012417666084120792,0.18210292193610653,0.03315993219335794,0.86,0.14,1.001241766608412
ind_nl_mY,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,2.0,0.0,0.010722604820097726,0.17758567708581743,0.031421698451900244,0.87,0.13,1.010722604820098
ind_nl_both,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,0.0,2.0,2.0,0.0,-0.007052038454974003,0.17586571822088667,0.030879019598977875,0.85,0.15,0.992947961545026
ind_skew_Dpos,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.2,0.0,4.0,1.0,0.25,0.13027174981745784,0.735082202968439,0.523375116320431,0.85,0.15,1.130271749817458
ind_skew_Dneg,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.2,0.0,-4.0,1.0,0.25,-0.20210556244475988,0.6821786394961132,0.42452103781365547,0.87,0.13,0.7978944375552401
ind_skew_Y,50,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,4.0,0.0,0.02077386820690557,0.10080373879274233,0.009729840154317543,0.84,0.16,1.0207738682069054
