config_name,n_samples,d_dim,dgp_num,reject_rate_shapiro,reject_rate_ad,reject_rate_both
s1_1.0,200,10,3,0.0,1.0,0.0
s1_2.0,200,10,3,0.0,1.0,0.0
0_基准,200,20,2,0.0,0.0,0.0
inter_0.25,200,20,2,0.0,0.0,0.0
inter_0.5,200,20,2,0.0,0.0,0.0
inter_1.0,200,20,2,0.0,0.0,0.0
hete_0.15,200,20,2,0.0,0.0,0.0
hete_0.3,200,20,2,0.0,0.0,0.0
hete_0.5,200,20,2,0.0,0.0,0.0
noise_0.5,200,20,2,0.0,0.0,0.0
noise_1.0,200,20,2,0.0,0.0,0.0
noise_2.0,200,20,2,0.0,0.0,0.0
rho_0.3,200,20,2,0.0,0.0,0.0
rho_0.5,200,20,2,0.0,0.0,0.0
rho_0.7,200,20,2,0.0,0.0,0.0
s1_0.5,200,20,2,0.0,0.0,0.0
s1_1.0,200,20,2,0.0,0.0,0.0
s1_2.0,200,20,2,0.0,0.0,0.0
0_基准,200,20,3,0.0,0.0,0.0
inter_0.25,200,20,3,0.0,0.0,0.0
inter_0.5,200,20,3,0.0,0.0,0.0
inter_1.0,200,20,3,0.0,0.0,0.0
hete_0.15,200,20,3,0.0,0.0,0.0
hete_0.3,200,20,3,0.0,0.0,0.0
hete_0.5,200,20,3,0.0,0.0,0.0
noise_0.5,200,20,3,0.0,0.0,0.0
noise_1.0,200,20,3,0.0,0.0,0.0
noise_2.0,200,20,3,0.0,0.0,0.0
rho_0.3,200,20,3,0.0,0.0,0.0
rho_0.5,200,20,3,0.0,0.0,0.0
rho_0.7,200,20,3,0.0,0.0,0.0
s1_0.5,200,20,3,0.0,0.0,0.0
s1_1.0,200,20,3,0.0,0.0,0.0
s1_2.0,200,20,3,0.0,0.0,0.0
0_基准,200,30,2,0.0,0.0,0.0
inter_0.25,200,30,2,0.0,1.0,0.0
inter_0.5,200,30,2,1.0,1.0,1.0
inter_1.0,200,30,2,1.0,1.0,1.0
hete_0.15,200,30,2,0.0,0.0,0.0
hete_0.3,200,30,2,0.0,0.0,0.0
hete_0.5,200,30,2,0.0,1.0,0.0
noise_0.5,200,30,2,0.0,0.0,0.0
noise_1.0,200,30,2,0.0,0.0,0.0
noise_2.0,200,30,2,0.0,0.0,0.0
rho_0.3,200,30,2,0.0,0.0,0.0
rho_0.5,200,30,2,0.0,0.0,0.0
rho_0.7,200,30,2,0.0,0.0,0.0
s1_0.5,200,30,2,0.0,0.0,0.0
s1_1.0,200,30,2,0.0,0.0,0.0
s1_2.0,200,30,2,0.0,0.0,0.0
0_基准,200,30,3,0.0,0.0,0.0
inter_0.25,200,30,3,0.0,0.0,0.0
inter_0.5,200,30,3,0.0,0.0,0.0
inter_1.0,200,30,3,0.0,0.0,0.0
hete_0.15,200,30,3,0.0,0.0,0.0
hete_0.3,200,30,3,0.0,0.0,0.0
hete_0.5,200,30,3,0.0,0.0,0.0
noise_0.5,200,30,3,0.0,0.0,0.0
noise_1.0,200,30,3,0.0,0.0,0.0
noise_2.0,200,30,3,0.0,0.0,0.0
rho_0.3,200,30,3,0.0,0.0,0.0
rho_0.5,200,30,3,0.0,0.0,0.0
rho_0.7,200,30,3,0.0,0.0,0.0
s1_0.5,200,30,3,0.0,0.0,0.0
s1_1.0,200,30,3,0.0,0.0,0.0
s1_2.0,200,30,3,0.0,0.0,0.0
0_基准,400,10,2,0.0,0.0,0.0
inter_0.25,400,10,2,0.0,0.0,0.0
inter_0.5,400,10,2,0.0,0.0,0.0
inter_1.0,400,10,2,0.0,1.0,0.0
hete_0.15,400,10,2,0.0,0.0,0.0
hete_0.3,400,10,2,0.0,0.0,0.0
hete_0.5,400,10,2,0.0,0.0,0.0
noise_0.5,400,10,2,0.0,0.0,0.0
noise_1.0,400,10,2,0.0,0.0,0.0
noise_2.0,400,10,2,0.0,0.0,0.0
rho_0.3,400,10,2,0.0,0.0,0.0
rho_0.5,400,10,2,0.0,0.0,0.0
rho_0.7,400,10,2,0.0,0.0,0.0
s1_0.5,400,10,2,0.0,0.0,0.0
s1_1.0,400,10,2,0.0,0.0,0.0
s1_2.0,400,10,2,0.0,0.0,0.0
0_基准,400,10,3,0.0,0.0,0.0
inter_0.25,400,10,3,0.0,0.0,0.0
inter_0.5,400,10,3,0.0,0.0,0.0
inter_1.0,400,10,3,0.0,0.0,0.0
hete_0.15,400,10,3,0.0,0.0,0.0
hete_0.3,400,10,3,0.0,0.0,0.0
hete_0.5,400,10,3,0.0,0.0,0.0
noise_0.5,400,10,3,0.0,0.0,0.0
noise_1.0,400,10,3,0.0,0.0,0.0
noise_2.0,400,10,3,0.0,0.0,0.0
rho_0.3,400,10,3,0.0,0.0,0.0
rho_0.5,400,10,3,0.0,0.0,0.0
rho_0.7,400,10,3,0.0,0.0,0.0
s1_0.5,400,10,3,0.0,0.0,0.0
s1_1.0,400,10,3,0.0,0.0,0.0
s1_2.0,400,10,3,0.0,0.0,0.0
0_基准,400,20,2,0.0,0.0,0.0
inter_0.25,400,20,2,0.0,0.0,0.0
inter_0.5,400,20,2,0.0,0.0,0.0
inter_1.0,400,20,2,0.0,0.0,0.0
hete_0.15,400,20,2,0.0,0.0,0.0
hete_0.3,400,20,2,0.0,0.0,0.0
hete_0.5,400,20,2,0.0,0.0,0.0
noise_0.5,400,20,2,0.0,0.0,0.0
noise_1.0,400,20,2,0.0,0.0,0.0
noise_2.0,400,20,2,0.0,0.0,0.0
rho_0.3,400,20,2,0.0,0.0,0.0
rho_0.5,400,20,2,0.0,0.0,0.0
rho_0.7,400,20,2,0.0,0.0,0.0
s1_0.5,400,20,2,0.0,0.0,0.0
s1_1.0,400,20,2,0.0,0.0,0.0
s1_2.0,400,20,2,0.0,0.0,0.0
0_基准,400,20,3,0.0,0.0,0.0
inter_0.25,400,20,3,0.0,0.0,0.0
inter_0.5,400,20,3,0.0,0.0,0.0
inter_1.0,400,20,3,0.0,0.0,0.0
hete_0.15,400,20,3,0.0,0.0,0.0
hete_0.3,400,20,3,0.0,0.0,0.0
hete_0.5,400,20,3,0.0,0.0,0.0
noise_0.5,400,20,3,0.0,0.0,0.0
noise_1.0,400,20,3,0.0,0.0,0.0
noise_2.0,400,20,3,0.0,0.0,0.0
rho_0.3,400,20,3,0.0,0.0,0.0
rho_0.5,400,20,3,0.0,0.0,0.0
rho_0.7,400,20,3,0.0,0.0,0.0
s1_0.5,400,20,3,0.0,0.0,0.0
s1_1.0,400,20,3,0.0,0.0,0.0
s1_2.0,400,20,3,0.0,0.0,0.0
0_基准,400,30,2,1.0,0.0,0.0
inter_0.25,400,30,2,0.0,0.0,0.0
inter_0.5,400,30,2,0.0,0.0,0.0
inter_1.0,400,30,2,0.0,0.0,0.0
hete_0.15,400,30,2,0.0,0.0,0.0
hete_0.3,400,30,2,0.0,0.0,0.0
hete_0.5,400,30,2,0.0,0.0,0.0
noise_0.5,400,30,2,1.0,1.0,1.0
noise_1.0,400,30,2,1.0,0.0,0.0
noise_2.0,400,30,2,0.0,0.0,0.0
rho_0.3,400,30,2,0.0,0.0,0.0
rho_0.5,400,30,2,0.0,0.0,0.0
rho_0.7,400,30,2,1.0,0.0,0.0
s1_0.5,400,30,2,0.0,0.0,0.0
s1_1.0,400,30,2,0.0,0.0,0.0
s1_2.0,400,30,2,0.0,0.0,0.0
0_基准,400,30,3,0.0,0.0,0.0
inter_0.25,400,30,3,0.0,0.0,0.0
inter_0.5,400,30,3,0.0,0.0,0.0
inter_1.0,400,30,3,0.0,0.0,0.0
hete_0.15,400,30,3,0.0,0.0,0.0
hete_0.3,400,30,3,0.0,0.0,0.0
hete_0.5,400,30,3,0.0,0.0,0.0
noise_0.5,400,30,3,0.0,0.0,0.0
noise_1.0,400,30,3,0.0,0.0,0.0
noise_2.0,400,30,3,0.0,0.0,0.0
rho_0.3,400,30,3,0.0,0.0,0.0
rho_0.5,400,30,3,0.0,0.0,0.0
rho_0.7,400,30,3,0.0,0.0,0.0
s1_0.5,400,30,3,0.0,0.0,0.0
s1_1.0,400,30,3,0.0,0.0,0.0
s1_2.0,400,30,3,0.0,0.0,0.0
