config_name,d_dim,dgp_num,N_star,bias_at_N,rmse_at_N,var_at_N,cov_at_N,rej_at_N,rej_norm_both_at_N,status,cov_max,n_at_cov_max,rej_min,n_at_rej_min
s1_0.5,20,2,100,0.0142233122767014,0.2190153249465775,0.0477654099493343,0.93,0.07,0.0,ok,,,,
s1_1.0,20,2,100,0.0006057120659577,0.1160751866128476,0.0134730820601005,0.92,0.08,0.0,ok,,,,
s1_2.0,20,2,100,-0.0051433999158154,0.0613894489813999,0.0037422098835458,0.93,0.07,0.0,ok,,,,
0_基准,20,3,100,-0.032118105860998,0.1055541932075351,0.0101101149795953,0.91,0.09,0.0,ok,,,,
inter_0.25,20,3,100,-0.0326473231439468,0.1055499982763084,0.0100749544276634,0.91,0.09,0.0,ok,,,,
inter_0.5,20,3,100,-0.0320329879254198,0.1052621583864968,0.0100540096727538,0.91,0.09,0.0,ok,,,,
inter_1.0,20,3,100,-0.0316174819125497,0.1049850310240169,0.0100221915766233,0.91,0.09,0.0,ok,,,,
hete_0.15,20,3,100,-0.033134844298757,0.1053955240877512,0.0100102985910288,0.91,0.09,0.0,ok,,,,
hete_0.3,20,3,100,-0.0325921951381913,0.1054331236173741,0.0100538923717905,0.91,0.09,0.0,ok,,,,
hete_0.5,20,3,100,-0.0314040158290276,0.1053270631762001,0.0101075780271334,0.91,0.09,0.0,ok,,,,
noise_0.5,20,3,100,-0.0311056518084452,0.1051246484563214,0.0100836301386369,0.91,0.09,0.0,ok,,,,
noise_1.0,20,3,100,-0.0321082989173022,0.1058796943995716,0.0101795668267838,0.91,0.09,0.0,ok,,,,
noise_2.0,20,3,100,-0.0328147267784166,0.1065251725914614,0.0102708061020985,0.91,0.09,0.0,ok,,,,
rho_0.3,20,3,100,-0.0317530004430329,0.1059987545022679,0.0102274829188968,0.91,0.09,0.0,ok,,,,
rho_0.5,20,3,100,-0.0300960703462632,0.1082207164095974,0.0108059500099192,0.9,0.1,0.0,ok,,,,
rho_0.7,20,3,200,-0.0167153109287326,0.077757331964373,0.0057668010547735,0.94,0.06,0.0,ok,,,,
s1_0.5,20,3,200,-0.0162077544005643,0.0775236245818232,0.0057472210655944,0.94,0.06,0.0,ok,,,,
s1_1.0,20,3,200,-0.0156987765138485,0.0781822396957456,0.0058660110198112,0.94,0.06,0.0,ok,,,,
s1_2.0,20,3,100,-0.0241527998137226,0.1088296219727424,0.0112605288798882,0.9,0.1,0.0,ok,,,,
0_基准,30,2,200,-0.0270179413066987,0.0840754360306825,0.0063387097912971,0.93,0.07,0.0,ok,,,,
inter_0.25,30,2,50,0.000599789701611,0.1764848190654764,0.0311465316128877,0.9,0.1,0.0,ok,,,,
inter_0.5,30,2,50,0.0008611149398221,0.2139810908728418,0.0457871657321918,0.91,0.09,0.0,ok,,,,
inter_1.0,30,2,50,0.0096617808725403,0.3158779188778653,0.0996855096249823,0.92,0.08,0.0,ok,,,,
hete_0.15,30,2,50,-0.0047786862986523,0.1659707698772852,0.0275234606109178,0.91,0.09,0.0,ok,,,,
hete_0.3,30,2,50,-0.001417126346595,0.1810776198464814,0.0327870961621846,0.9,0.1,0.0,ok,,,,
hete_0.5,30,2,50,0.006301878365317,0.2136102521869024,0.0455896261684208,0.91,0.09,0.0,ok,,,,
noise_0.5,30,2,50,0.0013973158409701,0.0865821718745461,0.007494519994954,0.91,0.09,0.0,ok,,,,
noise_1.0,30,2,50,-0.0014202701401123,0.1649377703383094,0.027202450916902,0.91,0.09,0.0,ok,,,,
noise_2.0,30,2,50,-0.0026243913014988,0.305711929458535,0.0934528963835569,0.9,0.1,0.0,ok,,,,
rho_0.3,30,2,50,-0.0034832220873449,0.155749161287339,0.0242456684055997,0.95,0.05,0.0,ok,,,,
rho_0.5,30,2,100,-0.0066273756633207,0.1190295495479611,0.0141241115574077,0.91,0.09,0.0,ok,,,,
rho_0.7,30,2,50,0.002451240562993,0.1691222301620207,0.0285963201546778,0.91,0.09,0.0,ok,,,,
s1_0.5,30,2,100,0.000509586171483,0.213819654305421,0.0457185848892236,0.9,0.1,0.0,ok,,,,
s1_1.0,30,2,50,0.0007046314515006,0.1725681491944075,0.0297792696109008,0.9,0.1,0.0,ok,,,,
s1_2.0,30,2,200,-0.0142804772033872,0.0439173065783914,0.0017247977879439,0.91,0.09,0.0,ok,,,,
0_基准,30,3,100,-0.0084635976408837,0.1115728200862859,0.0123768616969799,0.91,0.09,0.0,ok,,,,
inter_0.25,30,3,100,-0.0071618272962108,0.1120241446763174,0.0124981172202397,0.91,0.09,0.0,ok,,,,
inter_0.5,30,3,100,-0.0059283564029898,0.11041685767385,0.0121567370489263,0.92,0.08,0.0,ok,,,,
inter_1.0,30,3,100,-0.0033847348217037,0.1088829363431708,0.0118440373968977,0.93,0.07,0.0,ok,,,,
hete_0.15,30,3,100,-0.0023216193937407,0.109174379583748,0.0119136552408869,0.93,0.07,0.0,ok,,,,
hete_0.3,30,3,100,-0.0017539807680122,0.1090746792336728,0.011894209201394,0.93,0.07,0.0,ok,,,,
hete_0.5,30,3,100,-0.0017263196354444,0.1090444583984599,0.0118877137279297,0.93,0.07,0.0,ok,,,,
noise_0.5,30,3,100,-0.002560282167774,0.1097950183411311,0.0120483910077507,0.93,0.07,0.0,ok,,,,
noise_1.0,30,3,100,-0.0019416404854338,0.1093183316440401,0.0119467276656616,0.93,0.07,0.0,ok,,,,
noise_2.0,30,3,100,-0.0013230826097349,0.1091982127278404,0.0119224991153625,0.93,0.07,0.0,ok,,,,
rho_0.3,30,3,100,-7.412582000521084e-05,0.1090914224110047,0.011900932949019,0.93,0.07,0.0,ok,,,,
rho_0.5,30,3,100,-0.001720013544637,0.1104587860479754,0.0121981849685986,0.93,0.07,0.0,ok,,,,
rho_0.7,30,3,100,-0.0028858955284217,0.1092991134174745,0.011937967800845,0.93,0.07,0.0,ok,,,,
s1_0.5,30,3,100,-0.0071993967152619,0.1083379979465794,0.0116852904860093,0.92,0.08,0.0,ok,,,,
s1_1.0,30,3,100,-0.0051326979326553,0.1069377042510319,0.0114093280024132,0.93,0.07,0.0,ok,,,,
s1_2.0,30,3,100,-0.0033056202241422,0.1092826674548954,0.011931774280991,0.92,0.08,0.0,ok,,,,
