config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
noise_2.0,100,10,3,100,0.0,0.0,0,0.3,0.0,2.0,-0.0575186963931005,0.13491627176848,0.0148939999531446,0.85,0.15,0.9424813036068994,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0592050412243145,0.1363300354363381,0.0150806416557004,0.85,0.15,0.9407949587756854,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0585350736465951,0.1361714412249959,0.0151163065584802,0.85,0.15,0.9414649263534048,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0590299671090628,0.1368188210647562,0.0152348527806527,0.84,0.16,0.9409700328909372,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0596801586555298,0.1368954110370386,0.0151786322258505,0.84,0.16,0.94031984134447,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0589389284699889,0.1363907701134958,0.0151286448829619,0.84,0.16,0.9410610715300112,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0563658283301353,0.1330423351932557,0.0145231563503323,0.85,0.15,0.9436341716698646,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0026959854863239,0.1182073887631118,0.0139657184204509,0.9,0.1,0.997304014513676,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,20,2,100,0.0,0.25,0,0.3,0.0,1.0,0.0064124598353132,0.1274429134692175,0.0162005765523829,0.87,0.13,1.0064124598353132,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,20,2,100,0.0,0.5,0,0.3,0.0,1.0,0.0022196113034389,0.1607178302640121,0.0258252942904334,0.89,0.11,1.002219611303439,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,20,2,100,0.0,1.0,0,0.3,0.0,1.0,-0.00907352913758,0.2522694965899125,0.0635575699787173,0.94,0.06,0.99092647086242,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,20,2,100,0.0,0.0,0,0.3,0.15,1.0,0.0026788113770566,0.1191342251610179,0.0141857875743222,0.9,0.1,1.0026788113770566,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,20,2,100,0.0,0.0,0,0.3,0.3,1.0,0.0029645891093892,0.1332289703576339,0.0177411697539678,0.85,0.15,1.0029645891093892,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,20,2,100,0.0,0.0,0,0.3,0.5,1.0,-0.0026392191112628,0.1609372320314296,0.0258938271764209,0.9,0.1,0.9973607808887373,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,0.5,6.222839745784192e-05,0.0590241756371007,0.0034838494372658,0.91,0.09,1.0000622283974578,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0018434760426833,0.1137795159292762,0.0129423798411804,0.92,0.08,1.001843476042683,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,20,2,100,0.0,0.0,0,0.3,0.0,2.0,0.0157251604481307,0.2233875346414712,0.049654709962075,0.91,0.09,1.0157251604481308,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0023053055131155,0.1176370723647679,0.0138331663610448,0.89,0.11,0.9976946944868844,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0039591330070523,0.115326877305489,0.0132846138948677,0.91,0.09,1.0039591330070523,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0002001481255038,0.115580450284271,0.0133588004286427,0.92,0.08,1.0002001481255038,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0142233122767014,0.2190153249465775,0.0477654099493343,0.93,0.07,1.0142233122767017,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0006057120659577,0.1160751866128476,0.0134730820601005,0.92,0.08,1.0006057120659575,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0051433999158154,0.0613894489813999,0.0037422098835458,0.93,0.07,0.9948566000841844,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.032118105860998,0.1055541932075351,0.0101101149795953,0.91,0.09,0.967881894139002,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,20,3,100,0.0,0.25,0,0.3,0.0,1.0,-0.0326473231439468,0.1055499982763084,0.0100749544276634,0.91,0.09,0.9673526768560532,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,20,3,100,0.0,0.5,0,0.3,0.0,1.0,-0.0320329879254198,0.1052621583864968,0.0100540096727538,0.91,0.09,0.96796701207458,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,20,3,100,0.0,1.0,0,0.3,0.0,1.0,-0.0316174819125497,0.1049850310240169,0.0100221915766233,0.91,0.09,0.9683825180874502,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,20,3,100,0.0,0.0,0,0.3,0.15,1.0,-0.033134844298757,0.1053955240877512,0.0100102985910288,0.91,0.09,0.966865155701243,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,20,3,100,0.0,0.0,0,0.3,0.3,1.0,-0.0325921951381913,0.1054331236173741,0.0100538923717905,0.91,0.09,0.9674078048618088,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,20,3,100,0.0,0.0,0,0.3,0.5,1.0,-0.0314040158290276,0.1053270631762001,0.0101075780271334,0.91,0.09,0.9685959841709724,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,20,3,100,0.0,0.0,0,0.3,0.0,0.5,-0.0311056518084452,0.1051246484563214,0.0100836301386369,0.91,0.09,0.9688943481915548,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0321082989173022,0.1058796943995716,0.0101795668267838,0.91,0.09,0.9678917010826976,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,20,3,100,0.0,0.0,0,0.3,0.0,2.0,-0.0328147267784166,0.1065251725914614,0.0102708061020985,0.91,0.09,0.9671852732215832,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0317530004430329,0.1059987545022679,0.0102274829188968,0.91,0.09,0.968246999556967,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0300960703462632,0.1082207164095974,0.0108059500099192,0.9,0.1,0.9699039296537368,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0267427379062588,0.1111145342707522,0.0116312656954833,0.89,0.11,0.9732572620937412,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0272380877468026,0.1115130274439602,0.0116932418656149,0.89,0.11,0.9727619122531972,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0270843914853305,0.1116325902575809,0.0117282709454863,0.89,0.11,0.9729156085146694,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0241527998137226,0.1088296219727424,0.0112605288798882,0.9,0.1,0.9758472001862774,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0042473634894334,0.1217959103707605,0.0148162036864309,0.89,0.11,0.9957526365105666,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,30,2,100,0.0,0.25,0,0.3,0.0,1.0,-0.0096290813030388,0.127302215868632,0.0161131349583232,0.91,0.09,0.9903709186969613,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,30,2,100,0.0,0.5,0,0.3,0.0,1.0,-0.0172601015714747,0.1533640409452706,0.023222617948805,0.92,0.08,0.9827398984285252,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,30,2,100,0.0,1.0,0,0.3,0.0,1.0,-0.0326015196751364,0.2243868416782341,0.0492865956332045,0.92,0.08,0.9673984803248636,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,30,2,100,0.0,0.0,0,0.3,0.15,1.0,-0.0057454023122528,0.1242736372507078,0.0154109272677908,0.91,0.09,0.9942545976877472,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,30,2,100,0.0,0.0,0,0.3,0.3,1.0,-0.0122416667835788,0.1351726847473631,0.0181217962961698,0.92,0.08,0.9877583332164211,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,30,2,100,0.0,0.0,0,0.3,0.5,1.0,-0.0226250317059062,0.1582276185738134,0.0245240872198469,0.91,0.09,0.9773749682940938,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,30,2,100,0.0,0.0,0,0.3,0.0,0.5,-0.0062339229816292,0.0640780148193873,0.0040671301874527,0.9,0.1,0.9937660770183708,0.7,1.0,1.0,0.25,1.0,0.25
