config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_base,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.009460475704064528,0.024552615703945006,0.0005133303373584116,0.94,0.06,0.9905395242959354
inter_0.25,2000,100,3,100,0.0,0.25,0,0.3,0.0,1.0,0.9999663473144491,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.011748419723688387,0.026922149387383854,0.0006034207310886151,0.94,0.06,0.9882179275907607
inter_0.5,2000,100,3,100,0.0,0.5,0,0.3,0.0,1.0,1.000015464190977,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.012962679871745158,0.03219390737975301,0.000941460566499467,0.94,0.06,0.9870527843192317
inter_1.0,2000,100,3,100,0.0,1.0,0,0.3,0.0,1.0,0.9992488031575476,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.008012664046608008,0.04240242389862425,0.002113423652647943,0.96,0.04,0.9912361391109396
hete_0.15,2000,100,3,100,0.0,0.0,0,0.3,0.15,1.0,0.999889266935136,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.010415580369798796,0.025498923275760307,0.0005498636401565989,0.94,0.06,0.9894736865653371
hete_0.3,2000,100,3,100,0.0,0.0,0,0.3,0.3,1.0,0.9998551491865777,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.012234826484087555,0.02822712298395752,0.0006860015953197769,0.95,0.05,0.9876203227024902
hete_0.5,2000,100,3,100,0.0,0.0,0,0.3,0.5,1.0,0.9998454293949574,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.012468949914907773,0.031651527794604895,0.0009379192499365867,0.95,0.05,0.9873764794800495
noise_0.5,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.010138841434628119,0.02493160299861885,0.0005187887224442086,0.95,0.05,0.9898611585653719
noise_1.0,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.00995187107631965,0.024992076530759112,0.0005255641513996328,0.95,0.05,0.9900481289236802
noise_2.0,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.00949567390612992,0.024540863740996913,0.0005120861702226202,0.96,0.04,0.9905043260938702
s1_0.5,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.00996046466573131,0.024294899597292956,0.0004910312900852635,0.96,0.04,0.9900395353342685
s1_1.0,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.010028754725175329,0.024342587859473776,0.0004919856623584735,0.96,0.04,0.9899712452748247
s1_2.0,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.01053557683976485,0.024063859333115806,0.00046807094665739517,0.96,0.04,0.9894644231602351
ind_nl_mD,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,0.0,2.0,1.0,0.25,-0.01044910288194226,0.02403514817886477,0.0004685045969425723,0.96,0.04,0.9895508971180579
ind_nl_mY,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,2.0,0.0,-0.01081642280773425,0.02430818153361821,0.00047389268711566375,0.96,0.04,0.9891835771922658
ind_nl_both,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,0.0,2.0,2.0,0.0,-0.010955009035956382,0.02436734046278507,0.00047375505825139635,0.96,0.04,0.9890449909640436
ind_skew_Dpos,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.2,0.0,4.0,1.0,0.25,-0.011042699015399981,0.024462991319576938,0.00047649674275698095,0.96,0.04,0.9889573009846001
ind_skew_Dneg,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.2,0.0,-4.0,1.0,0.25,-0.011010674226101975,0.02445263171300209,0.00047669625077836924,0.96,0.04,0.988989325773898
ind_skew_Y,2000,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,4.0,0.0,-0.011654912658583308,0.024979591528125806,0.00048814300383280903,0.95,0.05,0.9883450873414167
