config_name,theta_hat,se,true_effect,true_theta,z,run_id,seed_used,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1
0_base,1.0107414845359493,0.023296290992496967,1.0,1.0,0.4610813171679887,0,60,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.003026773117361,0.023615461695775223,1.0,1.0,0.1281691273434844,1,61,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9834520194183103,0.02319346350680191,1.0,1.0,-0.7134760436636259,2,62,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9581484434166044,0.02130864440340721,1.0,1.0,-1.964064714351495,3,63,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9797300115673786,0.021841442119590028,1.0,1.0,-0.9280517431786631,4,64,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9942285480500878,0.022432528959689155,1.0,1.0,-0.2572804858642303,5,65,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9969271387711378,0.021701494032034942,1.0,1.0,-0.14159675939021274,6,66,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9987251181033914,0.023408364213819807,1.0,1.0,-0.054462664924529954,7,67,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9526942681865994,0.022959092451624252,1.0,1.0,-2.060435616654957,8,68,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0361613167197463,0.023130767285385233,1.0,1.0,1.5633427232910777,9,69,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.986432256415842,0.022042510040314812,1.0,1.0,-0.6155262517446151,10,70,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0386517499415406,0.021507288682569434,1.0,1.0,1.7971465632888406,11,71,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9876913661884432,0.022356995665801526,1.0,1.0,-0.55054954590275,12,72,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0003989047101103,0.02321489637897465,1.0,1.0,0.01718313550051264,13,73,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9965401414521351,0.022138864748299278,1.0,1.0,-0.1562798538769108,14,74,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9777528182371048,0.022758722539254383,1.0,1.0,-0.9775233088993954,15,75,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9904869737429145,0.022494173593438378,1.0,1.0,-0.42291068029547346,16,76,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0119951867112096,0.022214728289096597,1.0,1.0,0.5399654929426728,17,77,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9853310434566862,0.0218981430720319,1.0,1.0,-0.6698721665604992,18,78,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9629073547020909,0.023160966159828576,1.0,1.0,-1.6015154567361822,19,79,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9937344804345816,0.02218692196341514,1.0,1.0,-0.282396971321659,20,80,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0147771476814285,0.02272869961970727,1.0,1.0,0.6501536792107414,21,81,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0067192204448452,0.021916814940764247,1.0,1.0,0.3065783264131027,22,82,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0089847641386676,0.022330635737252975,1.0,1.0,0.40235147106352936,23,83,2000,100,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
