config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.019362799611444825,0.08179773794045743,0.006315951923382784,0.92,0.08,0.9806372003885552
inter_0.25,200,10,3,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01791813373935114,0.08074333391966039,0.006198426455760505,0.92,0.08,0.9820818662606489
inter_0.5,200,10,3,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017905523634470177,0.08072118887094337,0.006195302556113936,0.92,0.08,0.9820944763655298
inter_1.0,200,10,3,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01705402899286168,0.0801481440419827,0.0061328850884850294,0.92,0.08,0.9829459710071383
hete_0.15,200,10,3,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01815054469440336,0.07996788166300577,0.006065419824964951,0.92,0.08,0.9818494553055966
hete_0.3,200,10,3,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.019246851419313593,0.08013095895543772,0.006050529293560904,0.92,0.08,0.9807531485806864
hete_0.5,200,10,3,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.020103783217593874,0.07993937793220676,0.005986142044528169,0.92,0.08,0.9798962167824061
noise_0.5,200,10,3,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.020132980590536587,0.07993022817579218,0.005983504468775282,0.92,0.08,0.9798670194094634
noise_1.0,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.020697913263599932,0.07925052051497676,0.005852241388427248,0.92,0.08,0.9793020867364001
noise_2.0,200,10,3,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.020816949564874565,0.0792898324803432,0.005853532145574358,0.92,0.08,0.9791830504351254
rho_0.3,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.021177080075999055,0.07962541754453406,0.00589173839859612,0.92,0.08,0.978822919924001
rho_0.5,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.021523974056435802,0.07948574509355683,0.005854702213895768,0.92,0.08,0.9784760259435642
rho_0.7,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.023388915687909684,0.08114570069841603,0.006037583364780761,0.91,0.09,0.9766110843120903
s1_0.5,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.021382460079239274,0.07812807807578553,0.0056467869847757765,0.92,0.08,0.9786175399207607
s1_1.0,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022233696789784596,0.07770076899859846,0.005543072230033479,0.92,0.08,0.9777663032102154
s1_2.0,200,10,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.020077247312907942,0.07746920963072527,0.005598382581145581,0.92,0.08,0.9799227526870921
