config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
rho_0.5,100,10,3,100,0.9870728014336543,0.4425398900459624,0.532367281142939,False,False,False
rho_0.5,200,10,3,100,0.968337088956375,0.016512528593094072,1.024210149266608,True,True,True
rho_0.5,400,10,3,100,0.9892961267170762,0.6080098986825653,0.3477216474841356,False,False,False
rho_0.5,50,10,3,100,0.9850457829252388,0.3200136856296788,0.36678937725341143,False,False,False
rho_0.5,800,10,3,100,0.9796543492182117,0.12494031733953398,0.30687502457661253,False,False,False
