config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
0_base,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0343794202383733,0.1310613819520158,0.0159951413032455,0.86,0.14,0.9656205797616266,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,3,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0013365980651172,1.0,-0.0343357991947479,0.1425194842387115,0.0197024364407305,0.86,0.14,0.9670007988703694,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,3,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0031535005390937,1.0,-0.0348203209985415,0.1694891945463487,0.0297874300848645,0.87,0.13,0.968333179540552,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,3,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0063662694362248,1.0,-0.0274896769873773,0.2418274453416516,0.0648864961439477,0.89,0.11,0.9788765924488472,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,3,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0008880894998435,1.0,-0.0306254172822664,0.1301053336999502,0.016044111770267,0.89,0.11,0.9702626722175768,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.00204467840199,1.0,-0.0320123648354575,0.1435987940862472,0.0199938251669185,0.88,0.12,0.9700323135665326,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,3,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0027684040090574,1.0,-0.0299099456610292,0.1657825279873534,0.0283033927677901,0.88,0.12,0.972858458348028,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,-0.010911664980749,0.066502666848046,0.00430354026525,0.9,0.1,0.989088335019251,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0323548656537092,0.126765806302225,0.0150227323159836,0.88,0.12,0.9676451343462908,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,-0.0641983181448435,0.2492719206478212,0.058015066370827,0.88,0.12,0.9358016818551566,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0307711915324823,0.1317628073756785,0.0164145711791914,0.83,0.17,0.9692288084675176,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0318689326449591,0.1244613643729973,0.014475002353659,0.87,0.13,0.9681310673550408,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0344099763990763,0.1284688046112925,0.0153201872824694,0.87,0.13,0.9655900236009238,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0543059247898388,0.2463327986748867,0.0577307142357226,0.86,0.14,0.945694075210161,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0347002005624429,0.1282785704247745,0.0152512877111501,0.87,0.13,0.9652997994375574,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0159132489948761,0.0663614877943798,0.0041506155687106,0.88,0.12,0.984086751005124,0.7,2.0,1.0,0.25,1.0,0.25
