config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
rho_0.3,100,30,3,100,0.9928672307401203,0.8799199701414541,0.3077039704888449,False,False,False
rho_0.3,200,30,3,100,0.9910103934817387,0.7457974142077125,0.349448585030089,False,False,False
rho_0.3,400,30,3,100,0.9857095660933073,0.3568319603746643,0.37295602664481464,False,False,False
rho_0.3,50,30,3,100,0.9867889191144801,0.42358865434722415,0.27244274993988427,False,False,False
rho_0.3,800,30,3,100,0.9921070223242461,0.8289244550068369,0.13917370763431336,False,False,False
