config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.014304887701825475,0.07253805721712532,0.005057139932673109,0.92,1.0,0.9856951122981745
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.01309576641175425,0.07114383644420595,0.004889946366088698,0.94,1.0,0.9869042335882457
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.02494694113082696,0.09613015621516861,0.008618657062167768,0.94,1.0,0.975053058869173
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.012723504235833794,0.07086435683166846,0.004859869509126758,0.94,1.0,0.9872764957641662
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.013191626719114447,0.07074460015828707,0.004830779436059459,0.94,1.0,0.9868083732808856
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.02039873183470098,0.08227722846664258,0.006353434063688053,0.94,1.0,0.979601268165299
