config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.014294249671358172,0.03890697783780168,0.0013094273508040695,0.92,1.0,0.9857057503286418
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.014929130113255584,0.03923612661737951,0.0013165947059965244,0.92,1.0,0.9850708698867444
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.014273394624498836,0.0392032641925985,0.001333166129248008,0.92,1.0,0.9857266053755012
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.01374639433974889,0.038640623293541315,0.001304134411169485,0.92,1.0,0.9862536056602511
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.013407427966170893,0.03880923727080283,0.001326397772873407,0.92,1.0,0.9865925720338291
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.014141936930412546,0.039111256416213734,0.0013296959983110528,0.92,1.0,0.9858580630695875
