config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
noise_1.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0223160893884086,0.125991472810198,0.0153758433752914,0.89,1.0,0.9776839106115912,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0229445311519518,0.1264184372613606,0.0154551697698217,0.89,1.0,0.9770554688480482,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0264618776655425,0.1282945969556759,0.0157592726384332,0.88,1.0,0.9735381223344576,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0273630821138539,0.1286822252566062,0.0158103768342224,0.88,1.0,0.972636917886146,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0283911153467461,0.127937865742223,0.0155620420600428,0.88,1.0,0.971608884653254,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.028976846434507,0.1280267693917796,0.0155511960516069,0.88,1.0,0.971023153565493,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0315461646181809,0.1308450770352364,0.0161252736822395,0.87,1.0,0.9684538353818192,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0323401795497081,0.1309016838672514,0.0160893636259744,0.87,1.0,0.967659820450292,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0169997602505347,0.1160186762963016,0.0131713414009703,0.91,1.0,0.9830002397494652,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0165007869654519,0.120500139102444,0.0142480075532291,0.92,1.0,0.983499213034548,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,5,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0120511908736246,0.145410805863401,0.0209990712603711,0.89,1.0,0.9879488091263754,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,5,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0026342170514318,0.2285907582935493,0.0522467956777458,0.9,0.98,0.997365782948568,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,5,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0152860740581686,0.1145290811426604,0.0128832463672702,0.92,1.0,0.9847139259418314,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0139097188010928,0.1253328887552213,0.0155148527266032,0.89,1.0,0.9860902811989072,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,5,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.0092998954590076,0.1477248878496045,0.0217361544346297,0.89,1.0,0.9907001045409924,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.0062738441085926,0.0618625099741192,0.003787609020399,0.93,1.0,0.9937261558914072,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0149650350171729,0.1127035786718278,0.0124781443723716,0.92,1.0,0.985034964982827,0.7,1.0,1.0,0.25,1.0,0.25
