config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.002695985486323993,0.11820738876311182,0.013965718420450985,0.9,1.0,0.997304014513676
inter_0.25,100,20,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0064124598353132445,0.12744291346921754,0.016200576552382964,0.87,1.0,1.0064124598353132
inter_0.5,100,20,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.002219611303438951,0.16071783026401215,0.025825294290433468,0.89,1.0,1.002219611303439
inter_1.0,100,20,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.009073529137580083,0.2522694965899125,0.06355756997871737,0.94,0.96,0.9909264708624199
hete_0.15,100,20,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0026788113770566113,0.11913422516101797,0.014185787574322277,0.9,1.0,1.0026788113770566
hete_0.3,100,20,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0029645891093890153,0.13322897035763392,0.01774116975396779,0.85,1.0,1.002964589109389
hete_0.5,100,20,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0026392191112628582,0.16093723203142965,0.02589382717642097,0.9,1.0,0.9973607808887371
noise_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,6.222839745784192e-05,0.05902417563710077,0.003483849437265871,0.91,1.0,1.0000622283974578
noise_1.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0018434760426833119,0.11377951592927625,0.012942379841180485,0.92,1.0,1.0018434760426833
noise_2.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,0.01572516044813055,0.22338753464147126,0.049654709962075085,0.91,0.98,1.0157251604481305
rho_0.3,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.0023053055131155853,0.11763707236476789,0.013833166361044837,0.89,1.0,0.9976946944868844
rho_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,0.003959133007052307,0.11532687730548902,0.013284613894867783,0.91,1.0,1.0039591330070523
rho_0.7,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.00020014812550384065,0.11558045028427104,0.01335880042864271,0.92,1.0,1.0002001481255038
s1_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.014223312276701483,0.21901532494657752,0.04776540994933438,0.93,0.99,1.0142233122767015
s1_1.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0006057120659577198,0.11607518661284762,0.013473082060100556,0.92,1.0,1.0006057120659577
s1_2.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.005143399915815472,0.06138944898139995,0.0037422098835458973,0.93,1.0,0.9948566000841845
