config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015871147783091955,0.08811519943851906,0.007512395040137243,0.89,1.0,0.984128852216908
inter_0.25,200,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.016105504532384574,0.10127127613583194,0.009996484093937264,0.85,1.0,0.9838944954676154
inter_0.5,200,5,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.014337688284645989,0.12480298370121139,0.015370215435377166,0.87,1.0,0.985662311715354
inter_1.0,200,5,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0016163633081689444,0.18130593359696898,0.03286922892712454,0.89,1.0,0.9983836366918311
hete_0.15,200,5,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.014632636108448449,0.09306091887404035,0.008446220582198443,0.83,1.0,0.9853673638915516
hete_0.3,200,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.017713719107060544,0.10453325016768358,0.01061342454601568,0.85,1.0,0.9822862808929395
hete_0.5,200,5,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015365258580383068,0.12369577218987302,0.015064552886406925,0.87,1.0,0.9846347414196169
noise_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.007466253590735161,0.04509368113013497,0.001977695135185123,0.88,1.0,0.9925337464092648
noise_1.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.016323847648570533,0.08823441629745184,0.007518844217298283,0.89,1.0,0.9836761523514295
noise_2.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.031147218298036128,0.17335267194707962,0.029080999663486286,0.86,1.0,0.9688527817019639
rho_0.3,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.007285109308398763,0.082456325653,0.006745972822558266,0.91,1.0,0.9927148906916012
rho_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.008060816353125055,0.08260687816200209,0.006758919559393049,0.88,1.0,0.991939183646875
rho_0.7,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.014835898461036279,0.08395951021970789,0.006829095473187056,0.91,1.0,0.9851641015389637
s1_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.03047434866714893,0.16666447480709864,0.026848361236039047,0.88,1.0,0.9695256513328511
s1_1.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.015791396022211135,0.0839881722446958,0.006804644888674382,0.91,1.0,0.9842086039777889
s1_2.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.007245100002009175,0.04134879824644428,0.0016572316423860392,0.91,1.0,0.9927548999979908
