config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.016089053819621446,0.08379700231376096,0.006763079943961787,0.94,1.0,0.9839109461803786
1_非线性,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.015827196757570494,0.08382179109964336,0.006775592505949402,0.94,1.0,0.9841728032424295
2_交互,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.00355064117582804,0.10436513660156284,0.010879474685103386,0.86,1.0,0.996449358824172
3_稀疏性,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.016704643030532207,0.08481445795810998,0.0069144471799505,0.94,1.0,0.9832953569694678
4_偏态,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.014035507391881086,0.0864851340444005,0.007282682942930377,0.94,1.0,0.9859644926081189
5_异质性,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.008419359351944378,0.09233769263454135,0.008455363869173858,0.88,1.0,0.9915806406480556
