config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_base,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0012685436195019617,0.11203345711522435,0.012549886310274235,0.87,0.13,1.0012685436195021
inter_0.25,100,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.002129515020942,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0005150220711978359,0.1301057260912094,0.019153283922000996,0.9,0.1,1.0016144929497444
inter_0.5,100,5,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0038519530347134,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.001342290289815813,0.1582222074797173,0.030683172862180606,0.9,0.1,1.002509662744898
inter_1.0,100,5,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0073862314034874,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.007045118760225295,0.23697881207388521,0.07209730883154962,0.93,0.07,1.0003411126432622
hete_0.15,100,5,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0012371925925192,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0037039278879518844,0.11954820556243619,0.015564784844543721,0.89,0.11,0.9975332647045678
hete_0.3,100,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.002946227517955,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004245509265062664,0.13089572528105348,0.020013514957574263,0.88,0.12,0.9987007182528923
hete_0.5,100,5,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0048942754799481,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004048880135414153,0.15557753142182112,0.02998458134962252,0.9,0.1,1.0008453953445342
noise_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.003359362501714127,0.11020514363342493,0.012133888366845895,0.88,0.12,0.9966406374982856
noise_1.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0011377767186344047,0.11149684220448394,0.012430251285710119,0.88,0.12,0.9988622232813654
noise_2.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0031199484669115676,0.11131739917724852,0.012381829281150702,0.88,0.12,0.9968800515330882
rho_0.3,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.0024098008748252866,0.11107355154043869,0.01233152671155018,0.88,0.12,0.9975901991251744
rho_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.0021606734243793703,0.11080893356764493,0.012273951248751929,0.88,0.12,0.9978393265756205
rho_0.7,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.0011282009361979074,0.1134028318928523,0.01285892944396608,0.87,0.13,1.001128200936198
s1_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.00032052215127590153,0.11298232179633357,0.01276490230404081,0.87,0.13,1.0003205221512759
s1_1.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0004010976659927234,0.11225501757923032,0.012601028092375644,0.87,0.13,0.9995989023340074
s1_2.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.001965696983716455,0.11066995315685818,0.012243974567109388,0.88,0.12,0.9980343030162835
