config_name,theta_hat,se,true_effect,true_theta,z,run_id,seed_used,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1
0_base,0.976267264441902,0.09758608812414757,1.0,1.0,-0.24319793952500204,0,60,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0876346802716386,0.08176068958901163,1.0,1.0,1.0718437027886367,1,61,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.043945156675518,0.08750619457053214,1.0,1.0,0.502194809078312,2,62,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.092489934768483,0.09063843653057657,1.0,1.0,1.0204272967272767,3,63,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.8269056606549487,0.0842690103219086,1.0,1.0,-2.0540687339726533,4,64,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.205500003802047,0.07031116683172735,1.0,1.0,2.9227221373506875,5,65,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0047351459249345,0.10343414372179872,1.0,1.0,0.045779331220359716,6,66,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9533729009187223,0.12860808382371844,1.0,1.0,-0.36255185284611596,7,67,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.109194106496513,0.09815542854340631,1.0,1.0,1.1124612068524067,8,68,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9263107632826585,0.10602835024525369,1.0,1.0,-0.6949955983177262,9,69,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.8697041575544849,0.11429993952558484,1.0,1.0,-1.1399467312609532,10,70,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9239729344725235,0.11262396602363792,1.0,1.0,-0.6750522842670954,11,71,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0993165524367772,0.09609288371261794,1.0,1.0,1.0335474241131128,12,72,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1495867891084233,0.09769240702817819,1.0,1.0,1.5312017961158104,13,73,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1911503909334742,0.09618222390859778,1.0,1.0,1.9873775336607409,14,74,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9019946971834917,0.09166675377078892,1.0,1.0,-1.0691477420654476,15,75,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.919528737603655,0.10630704002803745,1.0,1.0,-0.7569702098292026,16,76,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1654903787078974,0.08950167586452647,1.0,1.0,1.8490198882799764,17,77,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.2136340810245791,0.10622631302996076,1.0,1.0,2.0111220556466494,18,78,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.284058202845052,0.08845207656607477,1.0,1.0,3.211436224822343,19,79,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0076387729073244,0.08218298742703156,1.0,1.0,0.09294834790602731,20,80,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.7728585203259166,0.11133012936861363,1.0,1.0,-2.040251645823736,21,81,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.9348225008951545,0.0952004476803792,1.0,1.0,-0.6846343761288695,22,82,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0389605996080398,0.09150607955918377,1.0,1.0,0.42577061322839277,23,83,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.0012706689968927,0.0853491495686118,1.0,1.0,0.014887892888389816,24,84,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1057547685337652,0.09908454511850552,1.0,1.0,1.0673185046899298,25,85,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,0.91317066037018,0.08449947943832482,1.0,1.0,-1.027572479818597,26,86,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1194656436511499,0.0769597564380715,1.0,1.0,1.5523131722393417,27,87,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
0_base,1.1111912170142055,0.11293201527973139,1.0,1.0,0.9845854316757394,28,88,100,5,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25
