config_name,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.03237311799726161,0.12409676814223734,0.014351989094483599,0.92,1.0,0.9676268820027384
inter_0.25,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.021461815342335377,0.1502884091353205,0.022125996402636995,0.86,1.0,0.9785381846576646
inter_0.5,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.02001539604737712,0.1887495842227934,0.03522578946534401,0.86,1.0,0.9799846039526229
inter_1.0,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.007914799133670547,0.28229421177865577,0.0796273779584062,0.87,0.95,0.9920852008663295
hete_0.15,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.026452826512830208,0.14076148040699837,0.019114042335851886,0.87,1.0,0.9735471734871698
hete_0.3,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.02628259750068851,0.16047507951372975,0.025061476213554687,0.85,1.0,0.9737174024993115
hete_0.5,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.021720645131842242,0.19116453937851674,0.03607209469085705,0.85,1.0,0.9782793548681578
noise_0.5,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.011730369895195603,0.06657802882775955,0.004295032344711875,0.91,1.0,0.9882696301048044
noise_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.030489495902705777,0.12962778703832256,0.01587375381205159,0.9,1.0,0.9695105040972942
noise_2.0,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.05454292968958985,0.24674483165310104,0.057908080768393634,0.88,0.99,0.9454570703104102
rho_0.3,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.027800965717572956,0.12692315150663738,0.015336592693547157,0.92,1.0,0.972199034282427
rho_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.030049587529100585,0.12735600934619373,0.01531657540591872,0.92,1.0,0.9699504124708994
rho_0.7,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.029239979798280635,0.12896992866684445,0.015778266081727096,0.9,1.0,0.9707600202017194
s1_0.5,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.056621868658519925,0.23886637654672013,0.053851109834176805,0.91,0.99,0.9433781313414801
s1_1.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.026789199461832336,0.12834860406120246,0.01575570295665349,0.9,1.0,0.9732108005381677
s1_2.0,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.010919930049701598,0.06676885876565189,0.004338835628577191,0.9,1.0,0.9890800699502984
