config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
hete_0.3,100,10,3,100,0.9847613063958937,0.3052132958686222,0.6602811274315883,False,False,False
hete_0.5,100,10,3,100,0.9845469759959582,0.29444392597592517,0.672178186931788,False,False,False
noise_0.5,100,10,3,100,0.9869080692023166,0.4314738652187004,0.558787066888911,False,False,False
noise_1.0,100,10,3,100,0.9861805740827634,0.38491744434934494,0.5740787301592007,False,False,False
noise_2.0,100,10,3,100,0.9855525367647626,0.3478308900527748,0.6037534595490968,False,False,False
rho_0.3,100,10,3,100,0.9876196573654008,0.48060038399270694,0.505357904666667,False,False,False
rho_0.5,100,10,3,100,0.9870728014336543,0.4425398900459624,0.532367281142939,False,False,False
rho_0.7,100,10,3,100,0.9864459214440504,0.4014554764526746,0.5673055735881007,False,False,False
s1_0.5,100,10,3,100,0.9867363559356631,0.4201420939186334,0.5562988868872338,False,False,False
s1_1.0,100,10,3,100,0.9853401414291054,0.3359438610448472,0.6327375848643442,False,False,False
s1_2.0,100,10,3,100,0.9856879231085647,0.35558060240227285,0.6302925141277029,False,False,False
0_基准,100,20,2,100,0.9901710224928472,0.6784246716409658,0.21498036557596834,False,False,False
inter_0.25,100,20,2,100,0.9905607439388863,0.7098849033908378,0.17848234154558895,False,False,False
inter_0.5,100,20,2,100,0.9842433320272139,0.27973950633525035,0.3402596658048793,False,False,False
inter_1.0,100,20,2,100,0.9801754344477357,0.13717868318701182,0.6528676902403419,False,False,False
hete_0.15,100,20,2,100,0.9945418430514349,0.9614860544509742,0.14827702346603644,False,False,False
hete_0.3,100,20,2,100,0.9894904490138553,0.6235353213957686,0.2190165240155295,False,False,False
hete_0.5,100,20,2,100,0.9852539981485073,0.33121670902393285,0.3192446286264925,False,False,False
noise_0.5,100,20,2,100,0.9883576157961798,0.5349381675041139,0.39003735276536133,False,False,False
noise_1.0,100,20,2,100,0.9911474283666978,0.7565975559556923,0.199619682088084,False,False,False
noise_2.0,100,20,2,100,0.9955779531166367,0.9872973560648876,0.16748208210378834,False,False,False
rho_0.3,100,20,2,100,0.9858149436726933,0.3629738942777998,0.32031000650133024,False,False,False
rho_0.5,100,20,2,100,0.9916972051186455,0.7988813980300199,0.2733716691841863,False,False,False
rho_0.7,100,20,2,100,0.9917395436110055,0.8020519743105681,0.1792111797936542,False,False,False
s1_0.5,100,20,2,100,0.9931433060071331,0.8965535261837606,0.23217667708955503,False,False,False
