config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.024440969891523112,0.08521494606795231,0.006664226024125677,0.94,1.0,0.9755590301084769
inter_0.25,200,3,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01865520350015215,0.09106191289664169,0.007944255362763473,0.91,1.0,0.9813447964998478
inter_0.5,200,3,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.014733397776464874,0.11094383244489732,0.012091460947521906,0.9,1.0,0.9852666022235351
inter_1.0,200,3,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0030314761494666387,0.16860209017572528,0.028417474963978607,0.89,1.0,0.9969685238505334
hete_0.15,200,3,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.019178499572418795,0.09302829459273901,0.008286448748984168,0.91,1.0,0.9808215004275812
hete_0.3,200,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01829098540885199,0.10111655401316219,0.009889997348269916,0.88,1.0,0.981709014591148
hete_0.5,200,3,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01554163071641601,0.11698404940624858,0.013443725530158162,0.89,1.0,0.984458369283584
noise_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.01148797990101913,0.04795273225989377,0.002167490848982835,0.88,1.0,0.9885120200989809
noise_1.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022718596540101332,0.09200199172803582,0.007948231853173659,0.92,1.0,0.9772814034598987
noise_2.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.04065708440674687,0.17521433811661366,0.02904706576918568,0.9,1.0,0.9593429155932531
rho_0.3,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.02270873711455168,0.09236493366083809,0.008015594228833203,0.88,1.0,0.9772912628854483
rho_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.021593085877136486,0.08896984740357936,0.007449372389318809,0.91,1.0,0.9784069141228635
rho_0.7,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02490312181865517,0.0908490799513734,0.007633389851696254,0.92,1.0,0.9750968781813448
s1_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.04418590114595855,0.17246841176480626,0.027792959196594344,0.88,1.0,0.9558140988540414
s1_1.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.025039298761784234,0.09059707859321116,0.007580864167142589,0.92,1.0,0.9749607012382158
s1_2.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.009946086392518483,0.04377824074945181,0.0018176097285895205,0.91,1.0,0.9900539136074815
