config_name,theta_hat,se,true_effect,z
0_基准,0.9725729318537971,0.05265348393808469,1.0,-0.520897499934751
0_基准,1.0619852918110517,0.049470256264388716,1.0,1.2529810130713228
0_基准,1.1000721460336595,0.05896851961790092,1.0,1.697043552765074
0_基准,0.942580517850985,0.045765524967240984,1.0,-1.2546448924188236
0_基准,1.0231390694016647,0.05602767999909999,1.0,0.4129935310909957
0_基准,1.0274421395816715,0.05178197604194767,1.0,0.5299554339031235
0_基准,1.0383643943146086,0.05451258276857023,1.0,0.7037713563762376
0_基准,0.9539167756269961,0.05596128180613626,1.0,-0.8234840748045701
0_基准,1.034272450603177,0.054157821541943915,1.0,0.6328255019754422
0_基准,0.8798843849968262,0.054655679220532195,1.0,-2.197678570940724
0_基准,0.9991454887064055,0.0553664498253543,1.0,-0.015433738234795989
0_基准,0.9156063996563327,0.050238202036512476,1.0,-1.6798690423341802
0_基准,1.0660155308153438,0.046142478692821134,1.0,1.4306888724990527
0_基准,0.9735201783427063,0.04613763109394746,1.0,-0.5739311063321458
0_基准,0.9841687481217711,0.056361497356785584,1.0,-0.28088770917515166
0_基准,1.027413419045677,0.05028838600958046,1.0,0.5451242567310555
0_基准,1.0426846418002336,0.048031678874929366,1.0,0.8886768649370127
0_基准,0.953936199536435,0.0452217020082023,1.0,-1.0186215559779221
0_基准,0.9400535415055858,0.05253564796012273,1.0,-1.1410625132084906
0_基准,0.8968490466248017,0.047029740740236234,1.0,-2.1933132471416674
0_基准,1.0207663263309557,0.048125626555038686,1.0,0.43150246173327894
0_基准,0.9969153993153879,0.05163560675288681,1.0,-0.059737860724173364
0_基准,0.938184481972949,0.04406993427751803,1.0,-1.4026687137263498
0_基准,0.9337111668679997,0.04515740314706203,1.0,-1.467950513365893
0_基准,0.9768318129587696,0.04904260118031623,1.0,-0.4724094253493462
0_基准,0.9616880586917631,0.05409330918683471,1.0,-0.7082565641512149
0_基准,1.0194499111240516,0.049800915631509915,1.0,0.39055328355740687
0_基准,0.8739057878365245,0.048272323997294975,1.0,-2.612142978045586
0_基准,1.0526782808310227,0.05161332352277129,1.0,1.020633379824524
0_基准,1.0705048297317907,0.050411011253667364,1.0,1.3985997895779478
0_基准,0.9563773968868508,0.05408899109836288,1.0,-0.8064968901679066
0_基准,0.9787484279117661,0.05101472786272822,1.0,-0.41657719208888483
0_基准,0.9645230146640505,0.048997119327477946,1.0,-0.7240626759878452
0_基准,1.027767783300885,0.05659508838328152,1.0,0.4906394546613636
0_基准,0.8935742514512185,0.05157024111268689,1.0,-2.063704691941018
0_基准,0.9918934059536227,0.05199454008390293,1.0,-0.15591240990488134
0_基准,0.9665915768427428,0.04968397839967746,1.0,-0.6724184381634404
0_基准,1.0020788334301634,0.05000949242776054,1.0,0.04156877683104378
0_基准,0.9118116410825993,0.054745591928367525,1.0,-1.610875977609152
0_基准,1.0461565328632814,0.05525695081232424,1.0,0.8353072723836733
0_基准,0.954395777102219,0.04772070108248846,1.0,-0.9556486359861103
0_基准,0.9201737238068876,0.05115855942222222,1.0,-1.560369898891984
0_基准,0.9850175546971961,0.05324713803238992,1.0,-0.28137559794650696
0_基准,1.0464667869586517,0.0491319777863555,1.0,0.9457544567146662
0_基准,1.0048428031784722,0.04819399905042074,1.0,0.1004856055503016
0_基准,0.9039635103520469,0.05114885619876638,1.0,-1.8775882157511339
0_基准,1.0018430116861776,0.06116032097394086,1.0,0.030134107487154768
0_基准,0.9168424418166943,0.04640833278896549,1.0,-1.791866959786112
0_基准,0.9781359564915989,0.04876765682004831,1.0,-0.44833081870385916
0_基准,0.9734076123445697,0.04905773950379213,1.0,-0.5420630449834463
1_非线性,1.0619852918110517,0.049470256264388716,1.0,1.2529810130713228
1_非线性,1.1000721460336595,0.05896851961790092,1.0,1.697043552765074
1_非线性,0.942580517850985,0.045765524967240984,1.0,-1.2546448924188236
1_非线性,1.0231390694016647,0.05602767999909999,1.0,0.4129935310909957
1_非线性,1.0274421395816715,0.05178197604194767,1.0,0.5299554339031235
1_非线性,1.0383643943146086,0.05451258276857023,1.0,0.7037713563762376
1_非线性,0.9539167756269961,0.05596128180613626,1.0,-0.8234840748045701
1_非线性,1.034272450603177,0.054157821541943915,1.0,0.6328255019754422
1_非线性,0.8798843849968262,0.054655679220532195,1.0,-2.197678570940724
1_非线性,0.9991454887064055,0.0553664498253543,1.0,-0.015433738234795989
1_非线性,0.9156063996563327,0.050238202036512476,1.0,-1.6798690423341802
1_非线性,1.0660155308153438,0.046142478692821134,1.0,1.4306888724990527
1_非线性,0.9735201783427063,0.04613763109394746,1.0,-0.5739311063321458
1_非线性,0.9841687481217711,0.056361497356785584,1.0,-0.28088770917515166
1_非线性,1.027413419045677,0.05028838600958046,1.0,0.5451242567310555
1_非线性,1.0426846418002336,0.048031678874929366,1.0,0.8886768649370127
1_非线性,0.953936199536435,0.0452217020082023,1.0,-1.0186215559779221
1_非线性,0.9400535415055858,0.05253564796012273,1.0,-1.1410625132084906
1_非线性,0.8968490466248017,0.047029740740236234,1.0,-2.1933132471416674
1_非线性,1.0207663263309557,0.048125626555038686,1.0,0.43150246173327894
1_非线性,0.9969153993153879,0.05163560675288681,1.0,-0.059737860724173364
1_非线性,0.938184481972949,0.04406993427751803,1.0,-1.4026687137263498
1_非线性,0.9337111668679997,0.04515740314706203,1.0,-1.467950513365893
1_非线性,0.9768318129587696,0.04904260118031623,1.0,-0.4724094253493462
1_非线性,0.9616880586917631,0.05409330918683471,1.0,-0.7082565641512149
1_非线性,1.0194499111240516,0.049800915631509915,1.0,0.39055328355740687
1_非线性,0.8739057878365245,0.048272323997294975,1.0,-2.612142978045586
1_非线性,1.0526782808310227,0.05161332352277129,1.0,1.020633379824524
1_非线性,1.0705048297317907,0.050411011253667364,1.0,1.3985997895779478
1_非线性,0.9563773968868508,0.05408899109836288,1.0,-0.8064968901679066
1_非线性,0.9787484279117661,0.05101472786272822,1.0,-0.41657719208888483
1_非线性,0.9645230146640505,0.048997119327477946,1.0,-0.7240626759878452
1_非线性,1.027767783300885,0.05659508838328152,1.0,0.4906394546613636
1_非线性,0.8935742514512185,0.05157024111268689,1.0,-2.063704691941018
1_非线性,0.9918934059536227,0.05199454008390293,1.0,-0.15591240990488134
1_非线性,0.9665915768427428,0.04968397839967746,1.0,-0.6724184381634404
1_非线性,1.0020788334301634,0.05000949242776054,1.0,0.04156877683104378
1_非线性,0.9118116410825993,0.054745591928367525,1.0,-1.610875977609152
1_非线性,1.0461565328632814,0.05525695081232424,1.0,0.8353072723836733
1_非线性,0.954395777102219,0.04772070108248846,1.0,-0.9556486359861103
1_非线性,0.9201737238068876,0.05115855942222222,1.0,-1.560369898891984
1_非线性,0.9850175546971961,0.05324713803238992,1.0,-0.28137559794650696
1_非线性,1.0464667869586517,0.0491319777863555,1.0,0.9457544567146662
1_非线性,1.0048428031784722,0.04819399905042074,1.0,0.1004856055503016
1_非线性,0.9039635103520469,0.05114885619876638,1.0,-1.8775882157511339
1_非线性,1.0018430116861776,0.06116032097394086,1.0,0.030134107487154768
1_非线性,0.9168424418166943,0.04640833278896549,1.0,-1.791866959786112
1_非线性,0.9781359564915989,0.04876765682004831,1.0,-0.44833081870385916
1_非线性,0.9734076123445697,0.04905773950379213,1.0,-0.5420630449834463
1_非线性,1.0443255276792225,0.04898484332755166,1.0,0.9048825038150418
2_交互,1.0717042013786409,0.06826837416716314,1.0,1.0503282413473727
2_交互,1.022920973177652,0.06424893976546836,1.0,0.3567525512688899
2_交互,1.0292696018036587,0.0736776637434236,1.0,0.39726560692244056
2_交互,1.0344879648896337,0.08209824316338246,1.0,0.42008164317231134
2_交互,1.0228441348808328,0.08830527707638652,1.0,0.258695013901287
2_交互,0.8777477060406275,0.06988977420907272,1.0,-1.7492157521307659
2_交互,1.003534259206254,0.06867069017957488,1.0,0.051466778577757145
2_交互,0.8809161845344596,0.06807205765806577,1.0,-1.7493788136053248
2_交互,0.9833412419105976,0.0702170180625785,1.0,-0.23724673233141116
2_交互,0.8685727360036415,0.06934373973230722,1.0,-1.8953010683259504
2_交互,1.001955126078404,0.06638495978789809,1.0,0.029451340855681407
2_交互,1.015864510795896,0.06376439583880544,1.0,0.24879888826988858
2_交互,0.9970499980541736,0.07316242392605535,1.0,-0.04032127132375958
2_交互,1.002858685886058,0.06276166583601722,1.0,0.04554827931953097
2_交互,1.0359134915363972,0.06776510320510197,1.0,0.5299702920498663
2_交互,1.0151178246101797,0.06751758573743864,1.0,0.22390943700163848
2_交互,0.9954090771254919,0.06851437715102138,1.0,-0.0670067081597879
2_交互,0.8551991854478505,0.08091061549769807,1.0,-1.7896392662625238
2_交互,1.082143042009988,0.07769438664977459,1.0,1.0572583883088849
2_交互,0.9850238852127776,0.07243309698989835,1.0,-0.20675789672932224
2_交互,1.030983955673794,0.07608067321978222,1.0,0.40725133417638776
2_交互,0.8618913761926248,0.07822151678841567,1.0,-1.7656091249285082
2_交互,0.9525256357699928,0.06432955716214986,1.0,-0.7379868030234176
2_交互,0.9979070121152736,0.07408141164191216,1.0,-0.02825253782748282
2_交互,1.0105782062565265,0.06962571594076793,1.0,0.15192958684296481
2_交互,0.828374945993871,0.06884789725735402,1.0,-2.4928147531447933
2_交互,1.0349026022245043,0.07168888852130656,1.0,0.4868620918028447
2_交互,1.0714157354164024,0.06294528713559372,1.0,1.1345684270620944
2_交互,0.9652238878035182,0.07805276631352646,1.0,-0.44554618419020897
2_交互,0.9984222806265575,0.06917056453288997,1.0,-0.022809115179222527
2_交互,0.9225624057240478,0.062458556911523855,1.0,-1.23982362233644
2_交互,1.0399297167191963,0.07949086431224862,1.0,0.5023183112256537
2_交互,0.8177360793241596,0.06448635961446463,1.0,-2.82639494251987
2_交互,1.0403157021927345,0.07616462264477983,1.0,0.5293232053516602
2_交互,0.9263742821235197,0.07408109556624244,1.0,-0.9938529838647575
2_交互,0.9379311934749586,0.07153858179032432,1.0,-0.8676270198780528
2_交互,0.8999673155442127,0.07209214423892264,1.0,-1.3875670575737917
2_交互,1.0110744176159936,0.07782287009910722,1.0,0.1423028680629531
2_交互,1.013173856114059,0.07394327651112104,1.0,0.17816164951897603
2_交互,0.9066207154605942,0.08924014149717646,1.0,-1.0463820761911309
2_交互,1.0787590487912928,0.08149100114927872,1.0,0.9664754105427984
2_交互,1.0982840222877042,0.06508484267336404,1.0,1.5100908022618127
2_交互,1.0254172172449079,0.07252914748569404,1.0,0.3504414173614996
2_交互,0.8855144701429689,0.05931300312565978,1.0,-1.9301927709592364
2_交互,1.0380692836760488,0.06700501740964904,1.0,0.5681557165085763
2_交互,0.8999593162118931,0.06989709203207284,1.0,-1.431256735862523
2_交互,0.9873146352322573,0.06681380188294149,1.0,-0.18986144195128474
2_交互,0.9707787742313291,0.07686104549921756,1.0,-0.38018251741018005
2_交互,1.0231245774974542,0.06662884027362073,1.0,0.3470655860508735
2_交互,0.7690217662845631,0.06585334378806068,1.0,-3.50746401669149
3_稀疏性,0.942580517850985,0.045765524967240984,1.0,-1.2546448924188236
3_稀疏性,1.0231390694016647,0.05602767999909999,1.0,0.4129935310909957
3_稀疏性,1.0274421395816715,0.05178197604194767,1.0,0.5299554339031235
3_稀疏性,1.0383643943146086,0.05451258276857023,1.0,0.7037713563762376
3_稀疏性,0.9539167756269961,0.05596128180613626,1.0,-0.8234840748045701
3_稀疏性,1.034272450603177,0.054157821541943915,1.0,0.6328255019754422
3_稀疏性,0.8798843849968262,0.054655679220532195,1.0,-2.197678570940724
3_稀疏性,0.9991454887064055,0.0553664498253543,1.0,-0.015433738234795989
3_稀疏性,0.9156063996563327,0.050238202036512476,1.0,-1.6798690423341802
3_稀疏性,1.0660155308153438,0.046142478692821134,1.0,1.4306888724990527
3_稀疏性,0.9735201783427063,0.04613763109394746,1.0,-0.5739311063321458
3_稀疏性,0.9841687481217711,0.056361497356785584,1.0,-0.28088770917515166
3_稀疏性,1.027413419045677,0.05028838600958046,1.0,0.5451242567310555
3_稀疏性,1.0426846418002336,0.048031678874929366,1.0,0.8886768649370127
3_稀疏性,0.953936199536435,0.0452217020082023,1.0,-1.0186215559779221
3_稀疏性,0.9400535415055858,0.05253564796012273,1.0,-1.1410625132084906
3_稀疏性,0.8968490466248017,0.047029740740236234,1.0,-2.1933132471416674
3_稀疏性,1.0207663263309557,0.048125626555038686,1.0,0.43150246173327894
3_稀疏性,0.9969153993153879,0.05163560675288681,1.0,-0.059737860724173364
3_稀疏性,0.938184481972949,0.04406993427751803,1.0,-1.4026687137263498
3_稀疏性,0.9337111668679997,0.04515740314706203,1.0,-1.467950513365893
3_稀疏性,0.9768318129587696,0.04904260118031623,1.0,-0.4724094253493462
3_稀疏性,0.9616880586917631,0.05409330918683471,1.0,-0.7082565641512149
3_稀疏性,1.0194499111240516,0.049800915631509915,1.0,0.39055328355740687
3_稀疏性,0.8739057878365245,0.048272323997294975,1.0,-2.612142978045586
3_稀疏性,1.0526782808310227,0.05161332352277129,1.0,1.020633379824524
3_稀疏性,1.0705048297317907,0.050411011253667364,1.0,1.3985997895779478
3_稀疏性,0.9563773968868508,0.05408899109836288,1.0,-0.8064968901679066
3_稀疏性,0.9787484279117661,0.05101472786272822,1.0,-0.41657719208888483
3_稀疏性,0.9645230146640505,0.048997119327477946,1.0,-0.7240626759878452
3_稀疏性,1.027767783300885,0.05659508838328152,1.0,0.4906394546613636
3_稀疏性,0.8935742514512185,0.05157024111268689,1.0,-2.063704691941018
3_稀疏性,0.9918934059536227,0.05199454008390293,1.0,-0.15591240990488134
3_稀疏性,0.9665915768427428,0.04968397839967746,1.0,-0.6724184381634404
3_稀疏性,1.0020788334301634,0.05000949242776054,1.0,0.04156877683104378
3_稀疏性,0.9118116410825993,0.054745591928367525,1.0,-1.610875977609152
3_稀疏性,1.0461565328632814,0.05525695081232424,1.0,0.8353072723836733
3_稀疏性,0.954395777102219,0.04772070108248846,1.0,-0.9556486359861103
3_稀疏性,0.9201737238068876,0.05115855942222222,1.0,-1.560369898891984
3_稀疏性,0.9850175546971961,0.05324713803238992,1.0,-0.28137559794650696
