config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.020553735476861457,0.04365832171570726,0.0014835930129793989,0.93,1.0,0.9794462645231385
inter_0.25,800,20,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02367082304434065,0.04942397330940114,0.001882421274091909,0.91,1.0,0.9763291769556594
inter_0.5,800,20,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02351612988851781,0.05825113188133763,0.0028401860005233498,0.91,1.0,0.9764838701114822
inter_1.0,800,20,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01653317228542439,0.08500179175820032,0.006951958816284925,0.91,1.0,0.9834668277145756
hete_0.15,800,20,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02085512087410546,0.047514016228642895,0.0018226456715021882,0.91,1.0,0.9791448791258945
hete_0.3,800,20,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.023229159760083995,0.051663841206533764,0.002129558625054428,0.9,1.0,0.976770840239916
hete_0.5,800,20,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0236712047719837,0.05928858409686339,0.002954810268853662,0.92,1.0,0.9763287952280163
noise_0.5,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.012267199111175686,0.023689988658193925,0.000410731388592128,0.9,1.0,0.9877328008888243
noise_1.0,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02075353098802235,0.04515057493551469,0.001607865368536722,0.92,1.0,0.9792464690119776
noise_2.0,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03307688862735181,0.0841047505813319,0.005979528509081813,0.92,1.0,0.9669231113726482
rho_0.3,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.018468246639976704,0.043282839449930846,0.0015323280568934864,0.9,1.0,0.9815317533600233
rho_0.5,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.020795818093912732,0.04637278377725577,0.001717969025057007,0.91,1.0,0.9792041819060873
rho_0.7,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.021784839275953205,0.04575591434863046,0.0016190244756000838,0.91,1.0,0.9782151607240468
s1_0.5,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,-0.038232812481858613,0.08757226173823338,0.006207153075676687,0.9,1.0,0.9617671875181414
s1_1.0,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.022382315632625716,0.045668061884719065,0.0015846038232280465,0.91,1.0,0.9776176843673743
s1_2.0,800,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.013060641611674084,0.02370334636761671,0.0003912682697146143,0.89,1.0,0.9869393583883259
